gas algorithm Recent, algorithm Recent theoretical, fluid dynamic problem, recent theoretical result, solve fluid dynamic, quantum lattice gas, lattice gas algorithm, Recent theoretical, theoretical result suggest, quantum information processor, algorithm Recent, information processor communicate, dynamic problem, lattice gas, communicate via classical
States Postal Service, United States Postal, center Spot welding, sort center spot, robotic containerization system, Postal Service, containerization system, Spot welding, ABB, United States, state postal, ABB RCS, RCS, post - haste, containerization system instal
British Standard, United Kingdom, framework for geocode, geocode land, property information, British, Standard, land and property, property gazetteer, property, national framework, introduction of British, article examine, examine the role, development
automate theorem prove, make theoretical advance, researcher who make, theoretical advance, automate theorem, theorem prove, make theoretical, positive consequence, CADE ATP System, ATP System Competition, system performance, system, system competition, researcher, CASC
Chinese postman problem, mix chinese postman, Chinese postman, problem arc route, arc route problem, postman problem Arc, consist of find, find a traversal, satisfy some condition, condition relate, postman problem, mix chinese, link, CPP, so - call mixed cpp
fast - move application area, software manufacturer, application area, lim inspiration, inspiration For software, form of fast - move, fast - move application, lim, maintain consistently rapid, manufacturer, blessing, area, Integration, case of lim, drive seat
unify modelling language, unify modelling, model language, UML, present the logic, lightweight version, action and real, real time, extend ctl, LUML, unify, model, ATCTL, logic ATCTL, CTL
engineering and technology, technology principle, typically difficult, difficult to learn, human - center distribute information, human - center, Johnson Space Center, distribute information system, design, NASA Johnson Space, system, design human - center, distribute information, design human - center distribute, human - center computing
flash memory programmer, flash memory, application to design, plethora of application, memory programmer, versatile microcontroller, flash, design, hand, microcontroller in hand, memory, face, plethora, application, essential
common due window, single machine scheduling, location penalty study, study a single, due window involve, machine scheduling problem, common due, minimize weighted number, penalty study, tardy job, due window, window involve location, weight number, single machine, machine scheduling
circular interval arithmetic, Sun and Kosmol, interval arithmetic, recent method, simultaneous method, simultaneous determination, recent result, determination of polynomial, note we give, fourth - order for find, find complex, circular interval, recent, simultaneous, present comment include
long - range translation mechanism, piezoelectrically actuate fine, dimensional error compensation, precision motion stage, actuate fine motion, fine motion stage, piezoelectrically actuate, article present, present the design, design and performance, performance evaluation, motion stage, translation mechanism, long - range translation, precision motion
paper describe application, describe application, paper describe, turbofan engine, SQLF, PDQLF, control design, application, pdqlf controller, Linear, parameter - dependent control design, control, parameter - dependent, turbofan, LPV
Internet age, chemical mark - up language, difficult for chemistry, mark - up language, extensible mark - up language, paper discuss cml, chemical brotherhood, chemical mark - up, Internet, discuss cml, language, language could herald, chemical, mark - up, discipline
dihedral congruence prime, prime divide expression, real quadratic field, totally positive fundamental, positive fundamental unit, Dihedral congruence, congruence prime, real quadratic, form epsilon, quadratic nebentypu, prime divide, cusp form, nebentypu be essentially, divide expression, totally positive
exist computer system, wireless health care, cut the cord, cut the cord, health care, elect to cut, exist computer, computer system, cord, mobile technology, executive be elect, implement mobile technology, wireless health, mobile, healthcare executive
efficient multiresolution adaptive, partial differential equation, Adaptive multiresolution approach, multiresolution adaptive approach, adaptive approach combine, Adaptive multiresolution, multiresolution adaptive, efficient multiresolution, pde this paper, paper establishe, establish an innovative, innovative and efficient, combine with high - resolution, system of partial, partial differential
editorial preface investigate, preface investigate current, investigate current development, m - commerce business process, implement m - commerce business, successfully implement m - commerce, Mobile commerce, business process, support business, transform the vision, m - commerce, vision into reality, reality This editorial, editorial preface, preface investigate
general branching time, important axiomatization question, axiomatization question remain, branch time logic, branch time, question remain open, historical necessity, general branching, long be study, study but important, important axiomatization, axiomatization question, question remain, time logic, remain open
negative integer number, quasi - definite linear functional, negative integer, jacobi polynomial, negative integer parameter, integer number, Sobolev orthogonality, Jacobi, integer, orthogonal with respect, quasi - definite linear, linear functional, beta negative integer, negative, integer parameter
close - loop persistent identification, linear time - invariant system, probe signal selection, persistent identification, unmodeled dynamic, close - loop persistent, linear time - invariant, time complexity, essential issue, selection be study, stochastic disturbance, issue of time, close - loop setting, identification, identification accuracy
toland critical point, semilinear elliptic problem, Toland sense, critical point, Toland critical, semilinear elliptic equation, convex function, semilinear elliptic, problem we prove, Toland, elliptic problem, Convergence of Toland, function, critical, converge
important clinical implication, cardiac deformation estimation, biomechanical model, leave ventricular deformation, sequence have important, important clinical, clinical implication, assessment of viability, cardiac deformation, deformation, regional cardiac deformation, ventricular deformation, Estimation, medical image, image sequence
bookshelf face thousand, management midcareer librarian, join the circus, thousand of choice, midlife career management, late to join, bookshelf face, face thousand, career management, career management Midcareer, midcareer librarian, career, midlife career, management, career self - help book
single - input single - output feedback, single - output feedback linearisable, feedback linearisable nonlinear, nonlinear adaptive controller, Nonlinear adaptive, Nonlinear adaptive control, slide - mode state, linearisable nonlinear system, state and perturbation, perturbation observer, system, paper present, single - input single - output, single - output feedback, feedback linearisable
nearest neurosurgical department, mobile neurosurgical team, specialist centre, frequently use teleradiology, locate in specialist, teleradiology to make, mobile neurosurgeon Neurosurgical, neurosurgical department, neurosurgeon neurosurgical team, near neurosurgical, mobile neurosurgical, neurosurgical team, clinical status, French military, Neurosurgical
xml storage strategy, store xml document, xml document include, alternative XML storage, relational database system, xml document, alternative XML, XML storage, store xml, file system, database system, object manager, storage strategy, document include, leave document
effect of work, EMG activity, between - participant keying force, extensor EMG activity, EMG, extensor EMG, determine the effect, work pace, type, flexor EMG activity, emg activity increase, within - participant and between - participant, between - participant keying, fatigue A laboratory, laboratory study
annual bibliography update, recent work include, select list, list of recent, cyberethic bibliography, annual bibliography, recent work, conference proceeding, bibliography update, work include, select, recent book, list, recent, book and conference
cucumber disorder diagnosis, Diagnostic expert system, Diagnostic expert, expert system, reach a conclusion, cucumber disorder, disorder diagnosis, non - monotonic reasoning, develop an expert, expert, reason, system, information, reason, non - monotonic
hyperbolic polynomial b - spline, arbitrary integer large, polynomial b - spline, call hyperbolic polynomial, Uniform hyperbolic polynomial, hyperbolic polynomial, polynomial b - spline curve, polynomial b - spline share, space Omega, b - spline, polynomial, paper present, arbitrary integer, integer large, call hyperbolic
jacobi polynomial lag, jacobi polynomial, polynomial lag window, lag window connect, polynomial lag, lag window, Jacobi, connect with jacobi, sum of jacobi, lag, polynomial, window connect, polynomial be introduce, spectral density estimator, polynomial or sum
geometry reconstruction - base microwave - induce, spherical geometry reconstruction - base, reconstruction - base microwave - induce thermoacoustic, microwave - induce thermoacoustic tomography, geometry reconstruction - base, reconstruction - base microwave - induce, thermoacoustic tomography, configuration be present, spherical geometry, spherical configuration, microwave - induce thermoacoustic, tomography, spherical surface enclose, time - domain reconstruction, reconstruction - base
current - mode fully - programmable, mode be present, current mode, implement an arbitrary, neuro - fuzzy application, block, fully - programmable, arbitrary, present, n - shape, method to implement, application, method, current, mode
spotty datum integrity, true supply - chain collaboration, secretive corporate culture, newton upper fall, cpfr remain, disappointment reign, moonwatch media inc ., cio ' mind, number of barrier, datum integrity, supply - chain collaboration, forefront of cio ', secretive corporate, corporate culture, culture and spotty
service position generally, position generally hinge, attractively price consumer, potential competitive ability, service benefit positioning, price consumer benefit, decision support model, service positioning, position generally, decision support, ability to imitate, service, generally hinge, set of attractively, attractively price
gain scheduled controller, gain schedule, continuous - time gain schedule, sample - datum implementation, continuous - time gain - schedule controller, schedule controller, multi - rate gain schedule, schedule, schedule controller arise, sample - data, implementation, discrete - time controller, continuous - time gain, controller, gain
computer science, Baylor University, computer, science, humane tool, tool for aid, perform adequately, substantial difficulty, student, aid computer science, computer science department, Baylor, sophomore, baylor have observe, objective
DOF control scheme, integral process, control integral process, process with dead - time, DOF control, control scheme, DOF internal model, Control, disturbance observer - base control, DOF, observer - base control scheme, DOF internal, disturbance observer - base, Disturbance, internal model control
telecardiology service, hundred general practitioner, Assessment of prehospital, telephone line, prehospital chest pain, portable electrocardiograph, chest pain, telecardiology, ECG, hundred general, prehospital chest, general practitioner, telecardiology service allow, chest, pain
George Mason University, Enterprise Engineering Laboratory, George Mason, Mason University, Boeing Company, Engineering Laboratory, university be contract, Company to develop, Enterprise Engineering, n - tier hub technology, Laboratory at George, first - tier aerospace supplier, laboratory environment, large first - tier aerospace, n - tier hub
analytic transcendental function, explicit solution, transcendental equation, analytic transcendental, transcendental function, equation a simple, function be present, Cauchy integral theorem, explicit expression, simple method, solution for transcendental, formulate an explicit, exact expression, Explicit, transcendental
multimedia application require, service multimedia application, differentiate service multimedia, multimedia application, application require high, transmission of real - time, service multimedia, application require, guarantee quality, require high bandwidth, deliver mpeg video, Multimedia, real - time video, require high, current Internet
Airline base schedule, rigorous airline base, base schedule optimisation, Airline base, base schedule, rigorous airline, schedule optimisation, base, schedule, Airline, optimisation, aircraft schedule optimisation, system for rigorous, underlie problem structure, system
mobile telecommunication industry, mobile service provider, datum mining approach, turn telecommunications call, mobile telecommunication provider, mobile service, propose technique, service provider wishing, mobile telecommunication, datum mining, competitor open, great concern, call detail, telecommunication call detail, churn prediction
waltz through port, web service follow, business and consumer, follow the trusting, trust model, powerful payload, payload to travel, travel between business, web service, store web service, service follow, Web security, Port, Internet, Web
derive asymptotic expansion, Struve function, kelvin function, asymptotic expansion, derive asymptotic, special function, expansion, Asymptotic, function we derive, Struve, Kelvin, function, Numerical evidence, function, special
discrete time series, time series datum, time series, Differential and integral, find that discontinuity, discontinuity play, play a crucial, crucial role, role in natural, discrete time, integral calculus, natural evolution, Lin, time, series datum
quantify formula obtain, structure, study the computational, obtain by quantify, structure tree, quantify the variable, quantify formula, quantify, Hunt III, exploit structure, computational problem, formula obtain, term, local reduction, sum
piezoelectric laminate exact, laminate exact solution, laminate exact, thermoelectroelastic laminate plate, couple thermoelectroelastic behavior, exact solution, thermoelectroelastic laminated, exact, laminate plate, static analysis, couple thermoelectroelastic, composite laminated plate, piezoelectric laminate, piezoelectric, thermoelectroelastic behavior
nonlinearly reconstruct near - infrare, reconstruct near - infrare tomographic, nonlinearly reconstruct, Image error, near - infrare tomographic image, Image, error, tomographic image, analysis of nonlinearly, reconstruct near - infrare, near - infrare tomographic, Image error analysis, Statistical, minimization, nonlinearly
finite time extent, estimate perturbation bound, finite trajectory, finite time, time extent, trajectory be consider, perturbation bound, estimate perturbation, trajectory, finite, integral quadratic constraint, trajectory with finite, consider, Lagrange relaxation, extent The problem
quantitative parameter describe, pulmonary arterial, pulmonary perfusion pattern, pulmonary arterial pressure, determine whether quantitative, synthesize to make, make a reasonable, reasonable estimate, perfusion, perfusion image, Pulmonary, arterial pressure, image parameter describe, perfusion pattern, arterial
ITNET Graham Urquhart, information management vendor, Graham Urquhart, ITNET Graham, Information management, content management, vendor be rush, rush to re - position, put a portal, portal spin, management vendor, Information, Urquhart, workflow, ITNET
business make money, effort increase business, increase business productivity, mining effort increase, make money, datum mining effort, datum mining technology, datum mining, effort increase, productivity and efficiency, key part, increase business, business productivity, business make, mining effort
disambiguation recent model, probabilistic disambiguation Recent, processing employ statistical, employ statistical reasoning, disambiguation Recent, natural language processing, language processing employ, recent model, process employ, employ statistical, statistical reasoning, reason for deal, ambiguity resolution, formal grammar, Recent
nonlinear partial differential, laguerre gauss - radau interpolation, Laguerre pseudospectral method, partial differential equation, interpolation be investigate, Laguerre pseudospectral, method for nonlinear, nonlinear partial, partial differential, gauss - radau interpolation, laguerre gauss - radau, Laguerre pseudospectral scheme, pseudospectral method, Laguerre, differential equation
technology modern language, modern language study, technology modern, Modern language, variety of form, language study, study be characterize, specific area knowledge, Modern, Linguistic knowledge, area knowledge, knowledge, development, form, differentiation and classification
active functionality service, service base architecture, active functionality, functionality service, e - business application service, application service base, business rule, meet the fast, fast evolution, service base, base architecture, service, active, functionality, service - base middleware architecture
multi - hop radio network, deterministic distribute broadcasting, multi - hop radio, unknown topology, radio network, deterministic distribute, upper bind, Fast broadcasting, radio, distribute broadcasting, log, gossip in radio, bind of omega, lower bound, bind
brainiac theorem prover, superposition - base theorem prover, brainiac theorem, superposition - base theorem, theorem prover, describe the superposition - base, theorem, prover, DISCOUNT loop proof, brainiac, describe, superposition - base, logic with equality, DISCOUNT loop, prover include strong
continuous feedback control, continuous feedback, feedback control, feedback control approach, slide mode dynamic, distribute discrete - event scheduling, feedback control system, slide mode, distribute manufacturing application, distribute discrete - event, control theoretic technique, control, discrete event, event be present, present motivated
specific logical formulation, logical formulation base, relationship between omega, temporal logic formulae, omega, specific logical, logical formulation, formulation base, logic formulae, automata, temporal logic, normal form, temporal logic normal, logic normal form, relationship
mission future man, space mission future, future man space, mission future, future man, man space operation, life support, operation will include, include a great, Johnson Space Center, NASA Johnson Space, Intelligent control, Future, space mission, man space
RISCy business, cornell university student, Atmel Design, cook coach, Cornell University, university student enter, Barbie zip drive, risc project, RISCy, business, wireless Internet pager, Cornell, university student, cornell student, Barbie zip
solvable queue network, measure or simulate, detail train schedule, queue network model, solvable queue, railway network, train schedule, queue network, detail train, railway, network model, require train schedule, netherland, network, model
portal organizational memory, information system base, intranet portal organizational, organizational memory information, base on previous, memory information system, organizational memory, memory structure map, well - know organizational memory, human - centre feature, information retrieval tool, conceptual model, system base, portal organizational, retrieval function
vector cascade algorithm, multivariate refinable vector, cascade algorithm, vector cascade, relationship between accuracy, accuracy of multivariate, multivariate refinable, refinable vector, cascade, vector, algorithm, isotropic dilation converge, algorithm The focus, strang - fix condition, note on vector
Positive productivity, health care, Workflow software, unexpected financial boost, hospital specialist, Workflow, communication solution, solution for hospital, deliver an unexpected, unexpected financial, financial boost, Positive, productivity, billing, health
narx polynomial model, NARX polynomial, polynomial model, narx model, representation and estimation, NARX, map in narx, model, polynomial, nonlinearitie in narx, show how nonlinearitie, nonlinearitie be map, nonlinearitie, representation, coefficient of narx
Century project team, utilize web - base case, web - base case study, cut - edge information service, information service issue, academic library, pilot study conduct, utilize web - base, Century project, case study method, training framework, web - base case, study for cut - edge, cut - edge information, information service
Internet backbone industry, pervasive information technology, emerge information society, Internet infrastructure, Internet backbone, real constraint, Internet, information society, backbone industry, industry This paper, emerge information, pervasive information, contemporary society, Internet age, paper examine
rate parallel computer, parallel computer interface, interface bus parallel, computer interface bus, parallel data card, transfer rate parallel, bus parallel datum, high transfer rate, general statistical analysis, standard high transfer, rate parallel, parallel computer, bus parallel, design and build, computer interface
stochastic batch service, batch service problem, illustrate the importance, batch service, service, dynamic programming, stochastic batch, adaptive dynamic programming, dynamic programming algorithm, customer, dynamic, programming, exploit structure, problem, structural result
binocular free viewing, diverse view condition, optic tunnel, present experiment investigate, view condition, diverse view, free viewing, binocular free, view, tunnel, mapping, experiment investigate, optic, monocular perspective, mapping of perspective
Euclidean combinatorial optimization, Euclidean combinatorial, combinatorial optimization problem, dynamic programming method, combinatorial optimization, dynamic programming, class of Euclidean, Euclidean, programming method, optimization problem, combinatorial, optimization, method A class, method, Solution
gray level image, Automatic extraction, mouth field, gray level, paper present, eye and mouth, mouth, field, extraction, face image, level image, eigenfeature, eye, facial feature, locate field efficiently
manage customer relationship, customer relationship, open - end question, business decision, mine open answer, tool for market, manage customer, basis for business, open answer, Mining open, answer, open, important tool, important basis, questionnaire datum survey
projection - type method, linear complementarity problem, monotone linear complementarity, monotone LCP, LCP, paper we establish, linear complementarity, method, projection - type, Newton method, complementarity problem, finite termination, LCP with finite, finite termination property, monotone linear
urban digital cadastre, urban cadastral reality, operationally efficient cadastral, efficient cadastral database, accurate cadastral database, analytical reconstruction, urban digital, digital cadastre, legally supportive, generate a spatially, supportive and operationally, operationally efficient, field reconstruction process, cadastral database, conventional field reconstruction
parametric uncertainty Probabilistic, probabilistic system parameter, uncertainty Probabilistic robustness, Probabilistic robustness analysis, parametric uncertainty, uncertainty Probabilistic, probabilistic system, Monte Carlo simulation, nonlinear system, Robust control, uncertain parameter, robust control synthesis, Monte Carlo, Probabilistic, system parameter
NYSE Composite Index, technical chart heuristic, Stock market trading, Composite Index, NYSE Composite, technical charting, market trading rule, discover trading rule, trading rule discovery, bull flag, chart heuristic, Stock market, datum mining, market trading, discover trading
kinematic DEVS formalism, Geometric and kinematic, kinematic DEVS, simulation methodology base, continuous state set, continuous simulation methodology, DEVS formalism, conventional DEVS formalism, continuous state dynamic, continuous state, DEVS, event system specification, conventional DEVS, formalism, methodology base
result publish previously, elliptical probability distribution, Siegel metric, Siegel group, elliptical distribution base, generalize a result, elliptical probability, probability distribution, group This paper, paper describe, informative geometry, positive - definite matrix, result publish, publish previously, Siegel
Blind identification, identification of non - stationary, identification, adaptive algorithm, Blind, algorithm, identification of time - vary, equation derive, channel be derive, track time - vary system, system of equation, derive, time - vary system, time - vary ma channel, instrumental variable - type algorithm
track controller design, gaussian wavelet network, Adaptive tracking controller, Gaussian wavelet, track control design, Adaptive tracking, adaptive tracking control, gaussian wavelet function, robotic system, Gaussian, gaussian wavelet network - base, track controller, controller design, wavelet network, design for robotic
software maintenance account, software maintenance Software, hypothesis - base concept assignment, maintenance Software maintenance, concept assignment, software maintenance, software system, significant proportion, software, hypothesis - base concept, maintenance account, maintenance Software, maintenance, concept, maintenance process
accountant software technology, quality accountant software, Software Technology, year of resell, accounting market, accountant software, quality accountant, resell experience, legal business, Technology, Software, turn, year, market, quality
inspire professional growth, article challenge librarian, explore the sabbatical, Concordia University, challenge librarian, create leave, article challenge, inspire professional, professional growth, librarian to create, leave, energize a career, librarian at concordia, time, article
convex polyhedral Lyapunov, polyhedral lyapunov function, time hybrid system, nonlinear discrete time, discrete time hybrid, switch controller design, systematic switching control, switch control design, polyhedral Lyapunov, lyapunov function, control design method, hybrid system, convex polyhedral, function we propose, propose a systematic
lpv system stability, gain property, linear parameter - vary system, property of lpv, parameter rate, lpv system, property of linear, system stability, linear parameter - vary, obtain under assume, assume bound, maximum or average, parameter - vary system, gain, Stability
nondifferentiable invex program, nonlinear programming problem, sufficient optimality condition, datum wherein clarke, generalize gradient, define invexity, nondifferentiable invex, problem without differentiability, differentiability assumption, invex programming, nonlinear programming, programming problem, sufficient condition, sufficient optimality, optimality condition
Tactical airborne reconnaissance, multispectral imaging technology, Tactical airborne, Multispectral imaging, airborne reconnaissance, technology be satisfy, image technology, Multispectral, persistent, battlefield, Tactical, reconnaissance go dual - band, infrare imaging, airborne, reconnaissance
classification - a statistical approach, ideological classification - a statistical, classification - a statistical, statistical approach, statistical method, approach The paper, paper present, method of verifying, verify ideological classification, present a statistical, statistical, ideological classification - a, verify ideological, actual vote result, ideological
saccadic eye movement, knowledge gathering, image understanding base, image decision support, decision support, eye movement, compute tomography image, paper present, understand base, saccadic eye, visual search, generic image feature, image feature extraction, image understanding, visual assessment
railway freight wagon, freight wagon wheelset, railway freight, freight wagon, dry friction damper, dry friction, dry friction damp, support one end, spring with linear, linear characteristic, wagon wheelset, friction damper, railway, freight, wheelset that support
Structural invariance, pythagorean hodographs introduce, introduce by dietz, spatial pythagorean hodograph, pythagorean hodograph, three - dimensional pythagorean hodograph, arbitrary spatial rotation, four - polynomial characterization, spatial rotation, rotate pythagorean hodograph, Pythagorean, spatial Pythagorean, hodographs introduce, invariance, spatial
radial basis function, resultant decision boundary, input layer, hide layer, weight matrix, conventional RBF, Optimal learning, basis function, region be report, learn for pattern, propose modify, radial basis, direct connection, adaptively separate, resultant decision
weight autocorrelation function, fuzzy weight autocorrelation, fuzzy weighting scheme, autocorrelation function, pitch extraction, weight autocorrelation, function for pitch, speech An investigation, investigation be present, feasibility of incorporate, weight scheme, fuzzy weight, fuzzy weighting, noisy speech, function
symmetric positive definite, positive definite system, regularize conjugate gradient, positive definite matrix, ill - condition symmetric positive, large sparse system, symmetric positive, positive definite, system of linear, linear equation, conjugate gradient method, conjugate gradient, definite system, regularize conjugate, definite matrix
influence firm performance, influence firm, firm performance, performance, training and development, company, development policy, train, medium - sized company, firm, middle - sized, ETD, Education, performance work practice, policy and practice
rent - produce resource, select organizational design, resource - base view, story have emerge, knowledge accumulate, routine and structure, structure influence, organizational routine, Organizational design, capability, resource, dynamic story, firm ability, firm, resource and capability
piecewise analytic function, piecewise analytic, compact interval, analytic, analytic function, approximation of piecewise, self - validate integration, piecewise, function, self - validate, integration, approximation, compact, interval, integration and approximation
smooth flight Career, flight Career change, flight Career, Career change, depart on time, important decision, time to ensure, ensure a smooth, smooth flight, anxiety - laden process, contemplate this important, public librarianship, public, Career, librarianship
charter accountant focus, Nurture the geek, charter accountant, accountant focus, technology, Internet, technology be neat, Nurture, account, neat, Imagine the Internet, geek, charter, accountant, focus
static state feedback, state feedback controller, linear matrix inequality, linear time - invariant system, digital redesign, digitally redesign system, simple design methodology, feedback controller, digital redesign problem, linear matrix, matrix inequality, static state, state feedback, linear time - invariant, time - invariant system
situation awareness thirty - six, awareness thirty - six pilot, thirty - six pilot, awareness thirty - six, Impact of aviation, pilot situation awareness, ability to intercept, hit display, flight, pathway depict, thirty - six, hit, pilot situation, pilot, situation awareness
tax form, Web, electronic tax form, Tax, form, web look unstoppable, electronic tax, unstoppable, vendor be rapidly, form they offer, offer, vendor, move, thousand of electronic, rapidly move
fuzzy non - homogeneous markov, non - homogeneous markov system, markov system, non - homogeneous markov, fuzzy Markov system, fuzzy non - homogeneous, Markov, markov system represent, paper the theory, fuzzy Markov, reasoning be combine, system, Fuzzy, close analytic form, fuzzy reasoning
Semantic Web, increasingly difficult - and important - for, Semantic Web Activity, semantic web offer, Semantic Web development, support Semantic Web, Ontology Web Language, Web, World Wide Web, wide web consortium - have, Web Activity Ontology, Activity Ontology Web, Defense Advanced Research, advanced research project, research project agency
fluid dynamic system, optimal control govern, Pontryagin maximum principle, point boundary state, boundary state constraint, optimal control problem, control problem subject, maximum principle hold, optimal control, maximum principle, govern by fluid, fluid dynamic, dynamic system, point boundary, semilinear equation
multiple competitive facility, competitive facility location, facility location problem, multiple competitive, location problem, competitive facility, facility location, solve the multiple, paper we propose, multiple, competitive, location, facility, problem, compete facility
develop knowledge basis, industrial fault diagnosis, diagnosis Machine induction, knowledge structure derive, fault diagnosis Machine, knowledge structure, decision support system, Machine induction, machine induction technique, case study, study of industrial, induction technique, knowledge, decision support, diagnosis Machine
cadastral development world - wide, development world - wide, cadastral development, methodology, cadastral, research methodology need, world - wide, development, research methodology, research, cadastre, social, propose methodology, cadastral domain, political and economic
semantically guide theorem, guide theorem prover, first - order theorem prover, semantically guide, series of version, theorem prover SCOTT, theorem prover, TPTP library, CASC, TPTP, ten year, guide theorem, first - order theorem, prover SCOTT, prover
examine the Iwasawa, Iwasawa theory, p - adic birch, non - semistable reduction, additive reduction, elliptic curve, swinnerton - dyer conjecture, convert kato zeta - element, odd prime, p - adic l - function, extend perrin - riou theory, Iwasawa, reduction, conjecture for non - semistable, p - adic
constant modulus algorithm, MIMO convolutive system, joint blind equalisation, steady - state mean - square error, cross - correlation and constant, constant modulus, modulus algorithm, MIMO convolutive, mean - square error analysis, mean - square error performance, steady - state mean - square, mean - square error, convolutive system, multi - output system, problem of joint
continue the study, antiport rule, object, system, computation, rule, system with symport, symport and antiport, symport, antiport, halt computation, object collect, trace of object, communication of object, computation be perform
John McCarthy, artificial intelligence, computational intelligence, John, intelligence, father, McCarthy, today, Lisp, artificial, computational, list processing, discuss mccarthy recent, McCarthy recent research, coin
small periodic coefficient, order elliptic problem, problem with small, small periodic, elliptic problem, periodic coefficient, two - scale curve element, curve element method, order elliptic, two - scale curve, paper be concern, curve boundary, element method, curve element, problem
tight operating budget, Evanston Northwestern Healthcare, duel platform, Evanston Northwestern, operate budget, couple with advance, advance in client, Northwestern Healthcare, healthcare network server, grown accustom, tight operating, healthcare network, healthcare, server technology, mainframe architecture
asynchronous transfer mode, availability bit rate, interval - base abr flow, flow control protocol, transfer mode, availability bit, asynchronous transfer, ABR, flow control, ABR flow control, interval - base abr, bit rate, control protocol, abr connection, present for availability
normal duration require, duration require utilization, cost structure, Project, cost, activity, normal duration, duration require, require utilization, time dependent cost - a, project network, dependent cost - a branch, project compression problem, dependent cost structure, structure
World Wide Web, Wide Web, World Wide, student learn objective, surf the World, learn objective, email attachment, college campus, case study, student learn, send an email, Web, learn, email, World
erp system customization, erp system, encourage engagement success, engagement success, nurture client ' trust, erp customization client, costly aspect, successful implementation, major specialty, vendor and consult, client ' trust, ERP, encourage engagement, system customization, implementation of ERP
record management standard, e - business record management, role in e - business, e - business strategy, record management, management standard, play a key, record role, e - business record, key role, record, role, e - business, strategy, management
max - cut problem, approximation ratio, graph, max - cut, improve approximation, approximation, alpha approximately, ratio, general graph, bound degree, problem on general, Delta, problem, semidefinite relaxation, Williamson
multiview x - ray cineangiocardiogram, multiview x - ray, x - ray cineangiocardiogram, x - ray, time - vary three - dimensional, leave - ventricular shape, shape from multiview, paper report, shape recovery, x - ray cineangiocardiography, clinical application, left - ventricular, multiview, cineangiocardiograms, shape
general constitutive description, constitutive, general constitutive, constitutive description, behavior of fibrous, fibrous laminate, fiber, Laminate, matrix, theory, constituent fiber, laminate, lamina theory, matrix material, matrix composite laminate
parameter uncertainty study, mobile manipulator subject, constrain mobile manipulator, force track control, unknown inertia parameter, track control problem, mobile manipulator, uncertainty study, track control, constrain mobile, control problem, manipulator subject, parameter uncertainty, inertia parameter, force track
output feedback stabilization, linear time - invarye large - scale, adaptive output feedback, class of interconnect, class of linear, time - invarye large - scale system, feedback stabilization, adaptive decentralized stabilization, output feedback, linear time - invarye, time - invarye large - scale, nonlinear interconnectivity, decentralize adaptive output, class, adaptive decentralize
spatial resolution, author evaluate magnetic, high spectral, spectral and spatial, evaluate magnetic resonance, preliminary experience, healthy volunteer, suspicious lesion, experience the author, author evaluate, evaluate magnetic, woman with suspicious, image with high, resolution, hssr datum compare
column generation algorithm, linear programming, combine constraint programming, constraint programming, programming and linear, programming, column generation, generation algorithm, linear, combine constraint, bus driver scheduling, combine constraint, constraint, driver scheduling, technology
stream Recently, Recently much attention, Internet video streaming, ip - base network, Error resilient, video streaming, Error resilient intra, resilient intra refresh, Internet video, refresh scheme, Recently, intra refresh scheme, macro - block refresh scheme, intra macro - block refresh, scheme
therapy decision task, therapy decision, decision task, heuristic multi - attribute, generic decision task, generic decision model, decision, Knowledge model reuse, therapy decision domain, generic decision, kad - style specification, present the definition, therapy, task, Knowledge model
retard functional differential, functional differential equation, functional differential, shadow result, exact solution, differential equation, shadow, numerical, compare exact solution, differential, retarded functional, result, numerical approximation, functional, exact
organizational process model, specialization, Process, Process specialization, state diagram, object model, model, process model, define specialization, object, organizational process, state, object specialization, approach, diagram
industrial age coincide, modern man conceive, man conceive work, social environment, economic organization, industrial age, age coincide, bring about significant, conceive work, emerge information society, information society, modern man, man conceive, social and economic, information reversal
authority personalization generally, personalization generally refer, user profile, user, support global user, trust authority personalization, global user profile, profile, authority personalization, Personalization generally, support global, generally refer, refer to make, unique and individual, interoperable user profile
process with dead - time, integral process, Quantitative analysis, normalise, response, Control, process, disturbance response, dead - time, integral, Quantitative, process with dead, dynamic error, analysis For part, disturbance
hand - hold digital video - camera, eye examination, hand - hold digital, hand - hold digital colour, primary care, follow - up we develop, develop a hand - hold, examination and follow - up, examination in primary, hand - hold, examination, eye, digital colour video - camera, digital, video - camera
linear tense logic, Linear tense, tense logic, provide an extension, future and past, past connective, modality that quantifie, assume to increase, logic of increase, logic with future, language of linear, tense, Linear, increase set, model growth qualitatively
open - source hcs project, HCS, open - source hcs, HCS project, project, HCS II project, hcs incorporate direct, open - source project, hcs incorporate, remote, open - source, input and output, transmission and reception, rumor, dead
schedule unravel owe, airline operational difficulty, tightly coordinated airline, massive delay result, coordinate airline schedule, airline schedule unravel, overbooke flight, tightly coordinated, inclement weather, operational difficulty, negotiate interaction, unravel owe, owe to massive, result from inclement, airline
make different type, usability problem, heuristic evaluation, user testing, type, user, usability, problem, performance, evaluation, test, heuristic, type of information, type of error, performance classification
single machine earliness - tardiness, resource - dependent release date, machine earliness - tardiness scheduling, single machine earliness, Single machine, resource - dependent release, release date, job release date, tardiness scheduling problem, machine earliness - tardiness, common due date, due date, earliness - tardiness scheduling, paper deal, job release
