gas algorithm Recent, algorithm Recent theoretical, fluid dynamic problem, recent theoretical result, quantum lattice gas, solve fluid dynamic, lattice gas algorithm, Recent theoretical, theoretical result suggest, quantum information processor, information processor communicate, lattice gas, communicate via classical, classical channel, fluid dynamic
wireless markup language, WAP site management, markup language, intelligent WAP site, WAP, management system, html web site, WAP site, wireless markup, WML, hypertext markup, system, management, HTML, language
descriptor derive directly, two - dimensional molecular topology, ze - isomerism descriptor derive, inf . comput . sci ., chem . inf . comput ., derive directly, descriptor derive, molecular topology, directly from two - dimensional, descriptor, ze - isomerism, application to QSAR, derive, topology, chem . inf .
support vector machine, thermal error prediction, vector machine model, machine tool thermal, Support vector, operate condition, hitherto carry, directly map, critical element, thermal error, classification of thermal, error, machine tool, specific operating condition, machine
enhance unsupervise learning, inhibition enhance unsupervise, enhance unsupervise, unsupervise learning, learn a large, large and influential, influential class, neural network, lateral, inhibition, lateral inhibition, neural, network, postintegration lateral, inhibition enhance
rapidly change environment, power electronic spark, challenge this article, article discuss, inherent requirement, technology in order, rapidly change, simulation challenge, simulation technology, power system, spark new simulation, place in power, requirement for simulation, Power, simulation
out - of print book, influence the fair, fair market, out - of print, print book, factor influence, factor, examine, Patterson study, influence, fair, market, out - of, print, Fot
in - plane deformation contour, high sensitivity in - plane, sensitivity in - plane deformation, algorithm Moire interferometry, principle and algorithm, powerful technique, technique for high, high sensitivity, in - plane deformation, algorithm Moire, Moire interferometry, contour, strain contour, contour use gabor, Gabor
intuitionistic fuzzy set, fuzzy set, interval - value intuitionistic fuzzy, intuitionistic, fuzzy, set, correlation coefficient, fuzzy set lie, Correlation, centroid, method, calculate the correlation, paper, strength, propose
linguistic fuzzy c - mean, fuzzy c - mean, number as input, paper be concern, c - mean the paper, fuzzy number, linguistic fuzzy, c - mean, extension principle, efficient implementation, linguistic, fuzzy, FCM, algorithm, linguistic vector
experiencing be fully, American labor movement, American labor, labor archivist, labor movement continue, labor, fully document, reorganization and rejuvenation, pilgrim progress, path toward reorganization, challenge to ensure, labor archival program, Union, archivist, American
kimura system augment, support knowledge worker, integrate independent tool, network peripheral device, pervasive computing system, worker the kimura, Kimura system, integrate virtual, electronic whiteboard, datum source, virtual and physical, physical context, context to support, support knowledge, knowledge worker
Java Verification Program, test sun microsystem ', sun microsystem ' recently, verification program aim, launch java verification, microsystem ' recently launch, recently launch java, application server environment, software vendor ensure, Java portability put, Java Verification, test Sun, program aim, server environment, launch java
remote sense mission, multiple multiplatform remote, multiplatform remote sensing, image registration technique, registration technique base, automate parallel image, parallel image registration, High Resolution Radiometer, Landsat Thematic Mapper, sense mission, automatic registration algorithm, technique base, increase importance, importance of multiple, remote sensing
foster interpersonal relationship, foster interpersonal, electronic telecommunication, efficacy of electronic, effectiveness of electronic, supplementary aid, aid to instruction, telecommunication in foster, communication link, relationship the effectiveness, relationship be explore, student attitude, electronic, foster, interpersonal
article present result, experimental information obtain, acute period, period of concussion, Computer processing, processing of datum, processing of experimental, datum on mental, mental impairment, article present, present result, information obtain, obtain from patient, concussion The article, result of computer
fuzzy control photovoltaic, control photovoltaic power, photovoltaic power inverter, robust fuzzy control, taguchi tune scale, inverter with Taguchi, paper present design, power inverter, Taguchi method, taguchi tune, tune scale factor, fuzzy control, Robust fuzzy, photovoltaic power, method This paper
jooyoo kanji - hyo, basic Japanese kanji, japanese government publish, basic Japanese, Japanese kanji, Japanese government, web - accessible database, Japanese, include specification, specification of pronunciation, government publish, kanji, Jooyoo, kanji - hyo, Oxford Text Archive
ryder cup match, Ryder Cup, cup match, team captain order, captain order golfer, final day, team captain, Ryder, Cup, order golfer, match, day, final, examine how team, team
pci card save, card shield datum, card save power, firewall card shield, power and space, large network, PCI card, data The SlotShield, save power, offer enough security, security for large, Firewall card, PCI, space, network
singular spectrum analysis, modeling daily realize, daily realize future, logarithmic standard deviation, singular spectrum, spectrum analysis, realize future volatility, future return series, important future return, logarithmic standard, model daily, future return, standard deviation, daily realize, future volatility
obtain dynamic characteristic, characteristic of computational, software application, prior change, communication medium, effort to optimize, computational process, basic set, set of processor, optimal strategy - a set, obtain dynamic, dynamic of software, scalable resource, process in scalable, characteristic
States Postal Service, United States Postal, center Spot welding, sort center spot, Postal Service, ABB RCS, Spot welding, ABB, United States, state postal, robotic containerization system, RCS, post - haste, center Spot, abb develop specifically
British Standard, United Kingdom, framework for geocode, geocode land, property information, Standard, British, land and property, property gazetteer, property, national framework, article examine, examine the role, development, land
automate theorem prove, make theoretical advance, researcher who make, automate theorem, theorem prove, CADE ATP System, make theoretical, positive consequence, ATP System Competition, system performance, system, researcher, CASC, competition, ATP System
Chinese postman problem, mix chinese postman, problem arc route, arc route problem, postman problem Arc, consist of find, find a traversal, satisfy some condition, condition relate, so - call mixed cpp, mix chinese, CPP, Undirected CPP, graph satisfy, link
fast - move application area, software manufacturer, application area, lim inspiration, inspiration For software, form of fast - move, lim, maintain consistently rapid, manufacturer, blessing, area, Integration, case of lim, drive seat, inspire developer
unify modelling language, unify modelling, model language, UML, present the logic, lightweight version, action and real, extend ctl, real time, unify, model, ATCTL, logic ATCTL, CTL, action
engineering and technology, technology principle, typically difficult, difficult to learn, human - center distribute information, distribute information system, human - center, Johnson Space Center, system, design human - center, design, NASA Johnson Space, design human - center distribute, information system, computer system
flash memory programmer, flash memory, application to design, plethora of application, versatile microcontroller, flash, design, hand, microcontroller in hand, memory, face, plethora, application, essential, versatile
single machine scheduling, common due window, study a single, location penalty study, due window involve, machine scheduling problem, minimize weighted number, tardy job, penalty study, common due, due window, window involve location, single machine, weight number, involve location penalty
circular interval arithmetic, Sun and Kosmol, recent method, simultaneous method, interval arithmetic, recent result, simultaneous determination, determination of polynomial, note we give, fourth - order for find, find complex, circular interval, recent, simultaneous, present comment include
capable of translation, long - range translation mechanism, dimensional error compensation, piezoelectrically actuate fine, precision motion stage, actuate fine motion, article present, present the design, design and performance, performance evaluation, fine motion stage, translation mechanism, long - range translation, dimensional error, error compensation
paper describe application, paper describe, turbofan engine, PDQLF, SQLF, application, Linear, pdqlf controller, control design, control, parameter - dependent control design, parameter - dependent, LPV, turbofan, engine
Internet age, chemical mark - up language, difficult for chemistry, mark - up language, paper discuss cml, chemical brotherhood, chemical mark - up, Internet, discuss cml, language, language could herald, chemical, discipline, mark - up, extensible mark - up
dihedral congruence prime, prime divide expression, totally positive fundamental, positive fundamental unit, real quadratic field, congruence prime, real quadratic, form epsilon, prime divide, quadratic nebentypu, cusp form, nebentypu be essentially, totally positive, fundamental unit, essentially the prime
exist computer system, wireless health care, cut the cord, health care, elect to cut, exist computer, computer system, cord, mobile technology, executive be elect, implement mobile technology, mobile, personal digital assistant, adorn today professional, healthcare executive
efficient multiresolution adaptive, partial differential equation, Adaptive multiresolution approach, multiresolution adaptive approach, adaptive approach combine, pde this paper, paper establishe, establish an innovative, innovative and efficient, combine with high - resolution, system of partial, partial differential, adaptive approach, hyperbolic pde, high - resolution method
m - commerce business process, editorial preface investigate, preface investigate current, investigate current development, implement m - commerce business, successfully implement m - commerce, Mobile commerce, business process, support business, transform the vision, m - commerce, vision into reality, reality This editorial, editorial preface, current development
important axiomatization question, axiomatization question remain, general branching time, branch time logic, question remain open, branch time, historical necessity, long be study, study but important, time logic, remain open, branch, time, logic of general, logic
quasi - definite linear functional, negative integer number, negative integer, jacobi polynomial, integer number, Sobolev orthogonality, orthogonal with respect, quasi - definite linear, linear functional, Jacobi, negative, integer, beta, alpha, integer parameter
close - loop persistent identification, linear time - invariant system, probe signal selection, persistent identification, unmodeled dynamic, close - loop persistent, essential issue, selection be study, time complexity, stochastic disturbance, close - loop setting, linear system, issue of time, signal selection, identification
toland critical point, semilinear elliptic problem, Toland sense, Toland critical, critical point, convex function, problem we prove, semilinear elliptic, Toland, Convergence of Toland, resolution of semilinear, elliptic problem, function, converge, critical
important clinical implication, cardiac deformation estimation, sequence have important, important clinical, clinical implication, assessment of viability, leave ventricular deformation, biomechanical model, cardiac deformation, deformation, regional cardiac deformation, medical image, image sequence, Estimation, leave ventricular
bookshelf face thousand, management midcareer librarian, join the circus, thousand of choice, late to join, bookshelf face, face thousand, midlife career management, career management, midcareer librarian, career, career management Midcareer, midlife career, career self - help book, management
single - input single - output feedback, single - output feedback linearisable, feedback linearisable nonlinear, nonlinear adaptive controller, Nonlinear adaptive, linearisable nonlinear system, slide - mode state, system, paper present, single - output feedback, feedback linearisable, perturbation observer, state and perturbation, system state, adaptive controller
nearest neurosurgical department, mobile neurosurgical team, specialist centre, frequently use teleradiology, locate in specialist, teleradiology to make, neurosurgeon neurosurgical team, mobile neurosurgeon Neurosurgical, near neurosurgical, neurosurgical team, patient, Neurosurgical, clinical status, French military, mobile neurosurgeon
xml storage strategy, store xml document, xml document include, alternative XML storage, relational database system, xml document, alternative XML, XML storage, store xml, file system, database system, object manager, leave document, design and performance, performance evaluation
effect of work, between - participant keying force, EMG activity, extensor EMG activity, EMG, work pace, determine the effect, extensor EMG, type, within - participant and between - participant, fatigue A laboratory, laboratory study, study be conduct, conduct to determine, typist
recent work include, annual bibliography update, select list, list of recent, cyberethic bibliography, recent work, conference proceeding, work include, select, recent, book and conference, June, bibliography, list, include
cucumber disorder diagnosis, Diagnostic expert system, reach a conclusion, expert system, cucumber disorder, disorder diagnosis, develop an expert, non - monotonic reasoning, expert, reason, information, system, reason, handle the situation, situation
hyperbolic polynomial b - spline, arbitrary integer large, polynomial b - spline, call hyperbolic polynomial, space Omega, b - spline, paper present, integer large, call hyperbolic, Uniform hyperbolic, polynomial, Omega, b - spline curve, hyperbolic, b - spline share
jacobi polynomial lag, lag window connect, polynomial lag window, lag window, polynomial lag, Jacobi, connect with jacobi, sum of jacobi, lag, spectral density estimator, polynomial be introduce, polynomial or sum, window, introduce, spectral window
geometry reconstruction - base microwave - induce, spherical geometry reconstruction - base, reconstruction - base microwave - induce thermoacoustic, microwave - induce thermoacoustic tomography, thermoacoustic tomography, configuration be present, spherical geometry, spherical configuration, tomography, time - domain reconstruction, spherical surface enclose, reconstruction - base, spherical, thermoacoustic, unfocused ultrasonic transducer
current - mode fully - programmable, mode be present, current mode, implement an arbitrary, neuro - fuzzy application, block, present, n - shape, method to implement, fully - programmable, application, method, arbitrary, current, mode
spotty datum integrity, true supply - chain collaboration, secretive corporate culture, newton upper fall, cpfr remain, disappointment reign, moonwatch media inc ., cio ' mind, number of barrier, datum integrity, forefront of cio ', secretive corporate, corporate culture, culture and spotty, spotty datum
service position generally, position generally hinge, attractively price consumer, potential competitive ability, service benefit positioning, price consumer benefit, service positioning, decision support model, ability to imitate, service, generally hinge, set of attractively, attractively price, price consumer, actual or potential
continuous - time gain - schedule controller, gain scheduled controller, sample - datum implementation, gain schedule, discrete - time controller, controller, multi - rate gain schedule, sample - data, gain, implementation, continuous - time gain, schedule, schedule controller arise, transform, discrete - time
Baylor University, computer science, computer, science, humane tool, tool for aid, perform adequately, substantial difficulty, student, Baylor, objective, baylor have observe, sophomore, aid computer science, computer science department
DOF control scheme, integral process, control integral process, process with dead - time, Control, DOF control, DOF internal model, disturbance observer - base control, observer - base control scheme, DOF, Disturbance, DOF internal, internal model control, disturbance response, process
Assessment of prehospital, telephone line, hundred general practitioner, portable electrocardiograph, telecardiology service, prehospital chest pain, chest pain, ECG, telecardiology, hundred general, service, chest, pain, patient, practitioner be equip
point of view, George Mason University, Enterprise Engineering Laboratory, George Mason, Mason University, Boeing Company, Engineering Laboratory, university be contract, Company to develop, Enterprise Engineering, n - tier hub technology, Laboratory at George, first - tier aerospace supplier, large first - tier aerospace, laboratory environment
analytic transcendental function, explicit solution, transcendental equation, equation a simple, function be present, Cauchy integral theorem, simple method, explicit expression, formulate an explicit, solution for transcendental, Explicit, transcendental, base on cauchy, Cauchy integral, method
multimedia application require, service multimedia application, differentiate service multimedia, application require high, transmission of real - time, service multimedia, guarantee quality, deliver mpeg video, require high bandwidth, Multimedia, real - time video, current Internet, require high, mpeg video, differentiate service
simulation and revenue, revenue and cost, rigorous airline base, Airline base schedule, Airline base, base schedule optimisation, base schedule, base, Airline, schedule, optimisation, system for rigorous, underlie problem structure, system, system reflect
mobile telecommunication industry, mobile service provider, datum mining approach, turn telecommunications call, mobile service, service provider wishing, datum mining, competitor open, great concern, propose technique, call detail, telecommunication call detail, churn prediction, telecommunications provider investigate, technique
waltz through port, web service follow, business and consumer, follow the trusting, trust model, powerful payload, payload to travel, travel between business, web service, store web service, Port, Internet, Web security, Web, store Web
derive asymptotic expansion, Struve function, kelvin function, derive asymptotic, special function, Asymptotic, function we derive, expansion, function, Struve, Kelvin, Numerical evidence, special, derive, cosine - integral
discrete time series, time series datum, time series, Differential and integral, find that discontinuity, discontinuity play, play a crucial, crucial role, role in natural, integral calculus, natural evolution, discrete time, Lin, time, series datum
quantify formula obtain, study the computational, obtain by quantify, structure, quantify the variable, quantify formula, structure tree, quantify, computational problem, Hunt III, exploit structure, formula obtain, term, sum, local reduction
piezoelectric laminate exact, laminate exact solution, laminate exact, thermoelectroelastic laminate plate, couple thermoelectroelastic behavior, exact solution, exact, static analysis, laminate plate, composite laminated plate, piezoelectric, thermoelectroelastic, analysis of thermoelectroelastic, solution, basic couple piezoelectric
nonlinearly reconstruct near - infrare, reconstruct near - infrare tomographic, nonlinearly reconstruct, near - infrare tomographic image, Image error, Image, error, analysis of nonlinearly, reconstruct near - infrare, tomographic image, Statistical, minimization, nonlinearly, reconstruct, tomographic
finite time extent, finite trajectory, finite time, estimate perturbation bound, time extent, trajectory be consider, robustness of trajectory, perturbation bound, trajectory, finite, trajectory with finite, integral quadratic constraint, bound of finite, consider, Lagrange relaxation
pulmonary arterial, quantitative parameter describe, determine whether quantitative, synthesize to make, make a reasonable, reasonable estimate, pulmonary arterial pressure, pulmonary perfusion pattern, Pulmonary, perfusion, perfusion image, arterial, arterial pressure, image, pressure
ITNET Graham Urquhart, information management vendor, ITNET Graham, content management, vendor be rush, rush to re - position, put a portal, portal spin, management vendor, Information, Urquhart, workflow, ITNET, Graham, confusion
business make money, effort increase business, increase business productivity, mining effort increase, make money, effort increase, productivity and efficiency, key part, increase business, business productivity, business make, datum mining effort, datum mining, datum mining technology, business
disambiguation recent model, probabilistic disambiguation Recent, processing employ statistical, employ statistical reasoning, natural language processing, language processing employ, recent model, process employ, employ statistical, reason for deal, formal grammar, ambiguity resolution, Recent, natural language, Computational complexity
nonlinear partial differential, laguerre gauss - radau interpolation, partial differential equation, Laguerre pseudospectral method, interpolation be investigate, method for nonlinear, nonlinear partial, partial differential, laguerre gauss - radau, pseudospectral method, Laguerre, BBM equation, investigate, pseudospectral, method
technology modern language, modern language study, technology modern, Modern language, variety of form, language study, study be characterize, specific area knowledge, Modern, Linguistic knowledge, area knowledge, development, knowledge, form, differentiation and classification
active functionality service, service base architecture, e - business application service, application service base, meet the fast, fast evolution, business rule, service base, service, service - base middleware architecture, powerful approach, active, functionality, evolution of business, event
multi - hop radio network, deterministic distribute broadcasting, unknown topology, multi - hop radio, radio network, deterministic distribute, upper bind, gossip in radio, Fast broadcasting, radio, distribute broadcasting, log, bind of omega, broadcast in multi - hop, bind
brainiac theorem prover, superposition - base theorem prover, brainiac theorem, describe the superposition - base, theorem prover, theorem, prover, DISCOUNT loop proof, brainiac, describe, superposition - base, logic with equality, DISCOUNT loop, prover include strong, complete prover
continuous feedback control, distribute discrete - event scheduling, feedback control, feedback control approach, slide mode dynamic, distribute manufacturing application, feedback control system, slide mode, control theoretic technique, control, discrete event, event be present, present motivated, control system, control system exhibit
specific logical formulation, logical formulation base, relationship between omega, temporal logic formulae, omega, specific logical, formulation base, automata, logic formulae, relationship, temporal logic, normal form, temporal, normal, formulae
mission future man, space mission future, future man space, future man, man space operation, life support, operation will include, include a great, Johnson Space Center, NASA Johnson Space, Intelligent control, Future, space mission, man space, space operation
RISCy business, cornell university student, Atmel Design, Cornell University, cook coach, university student enter, risc project, Barbie zip drive, Cornell, cornell student, RISCy, business, wireless Internet pager, Barbie zip, Internet pager
measure or simulate, solvable queue network, detail train schedule, queue network model, solvable queue, railway network, detail train, train schedule, railway, netherland the performance, network model, netherland, model, network, simulate
information system base, intranet portal organizational, portal organizational memory, base on previous, organizational memory information, memory information system, information retrieval tool, well - know organizational memory, human - centre feature, memory structure map, system base, conceptual model, retrieval function, Development and validation, navigation and retrieval
vector cascade algorithm, multivariate refinable vector, vector cascade, relationship between accuracy, accuracy of multivariate, refinable vector, vector, cascade, algorithm, isotropic dilation converge, algorithm The focus, refinable, note on vector, strang - fix condition, note
Positive productivity, health care, Workflow software, unexpected financial boost, hospital specialist, Workflow, communication solution, solution for hospital, deliver an unexpected, financial boost, Positive, productivity, billing, health, care
narx polynomial model, NARX polynomial, narx model, representation and estimation, NARX, nonlinearitie in narx, map in narx, model, polynomial, show how nonlinearitie, nonlinearitie be map, nonlinearitie, representation, coefficient of narx, estimation
Century project team, utilize web - base case, web - base case study, cut - edge information service, information service issue, academic library, pilot study conduct, case study method, training framework, web - base case, study for cut - edge, service issue, issue this article, article report, project team
Internet backbone industry, pervasive information technology, emerge information society, Internet infrastructure, Internet backbone, real constraint, Internet, information society, industry This paper, backbone industry, pervasive information, contemporary society, Internet age, paper examine, information technology
width as short, rate parallel computer, parallel computer interface, interface bus parallel, computer interface bus, parallel data card, transfer rate parallel, bus parallel datum, high transfer rate, general statistical analysis, standard high transfer, rate parallel, design and build, interface bus, standard high
stochastic batch service, batch service problem, illustrate the importance, batch service, service, stochastic batch, dynamic programming, adaptive dynamic programming, customer, exploit structure, problem, structural result, dynamic programming algorithm, dynamic, programming
binocular free viewing, diverse view condition, optic tunnel, present experiment investigate, view condition, diverse view, free viewing, binocular free, view, tunnel, present experiment, optic, monocular perspective, flat figure, perspective transformation
allocation of servicing, Euclidean combinatorial optimization, Euclidean combinatorial, dynamic programming method, combinatorial optimization problem, class of Euclidean, Euclidean, programming method, optimization problem, combinatorial, method A class, optimization, method, Solution, problem
gray level image, Automatic extraction, mouth field, paper present, gray level, eye and mouth, mouth, field, extraction, face image, extraction of eye, eye, eigenfeature, facial feature, locate field efficiently
manage customer relationship, open - end question, business decision, tool for market, manage customer, basis for business, mine open answer, open answer, Mining open, answer, important tool, questionnaire datum survey, open, valuable information, important
projection - type method, linear complementarity problem, monotone linear complementarity, monotone LCP, LCP, paper we establish, method, projection - type, Newton method, LCP with finite, finite termination, monotone linear, linear, linear system, finite termination property
urban digital cadastre, urban cadastral reality, operationally efficient cadastral, efficient cadastral database, urban digital, legally supportive, analytical reconstruction, generate a spatially, supportive and operationally, operationally efficient, field reconstruction process, cadastral database, conventional field reconstruction, parcel boundary, urban cadastral
parametric uncertainty Probabilistic, probabilistic system parameter, uncertainty Probabilistic robustness, Probabilistic robustness analysis, parametric uncertainty, uncertainty Probabilistic, probabilistic system, Monte Carlo simulation, nonlinear system, uncertain parameter, Robust control, Monte Carlo, Probabilistic, robustness analysis, system parameter
NYSE Composite Index, Stock market trading, NYSE Composite, technical chart heuristic, bull flag, technical charting, trading rule discovery, market trading rule, discover trading rule, Stock market, datum mining, chart heuristic, case study, study in knowledge, knowledge engineering
kinematic DEVS formalism, Geometric and kinematic, kinematic DEVS, simulation methodology base, DEVS formalism, continuous simulation methodology, conventional DEVS formalism, continuous state set, event system specification, continuous state dynamic, DEVS, conventional DEVS, formalism, methodology base, paper that satisfie
result publish previously, elliptical probability distribution, Siegel metric, elliptical distribution base, Siegel group, generalize a result, group This paper, paper describe, informative geometry, positive - definite matrix, result publish, elliptical probability, probability distribution, Siegel, distribution base
Blind identification, identification of non - stationary, adaptive algorithm, identification, Blind, algorithm, channel be derive, equation derive, identification of time - vary, track time - vary system, derive, system of equation, time - vary system, time - vary ma channel, instrumental variable - type algorithm
track controller design, gaussian wavelet network, Adaptive tracking controller, Gaussian wavelet, Adaptive tracking, controller design, robotic system, Gaussian, design for robotic, wavelet network, wavelet, close - loop robotic system, system use gaussian, track control, design
software maintenance account, maintenance Software maintenance, software maintenance, software system, hypothesis - base concept assignment, significant proportion, concept assignment, software, maintenance account, hypothesis - base concept, maintenance Software, maintenance, lifetime cost, maintenance process, concept
accountant software technology, quality accountant software, Software Technology, accounting market, quality accountant, year of resell, resell experience, legal business, Technology, Software, market, quality, accountant, turn, year
inspire professional growth, article challenge librarian, explore the sabbatical, Concordia University, create leave, article challenge, leave, librarian to create, time, librarian at concordia, energize a career, article, successful leave, librarian, career
convex polyhedral Lyapunov, polyhedral lyapunov function, time hybrid system, nonlinear discrete time, discrete time hybrid, switch controller design, systematic switching control, lyapunov function, control design method, convex polyhedral, function we propose, propose a systematic, class of nonlinear, discrete time, time hybrid
lpv system stability, linear parameter - vary system, gain property, property of lpv, lpv system, parameter rate, obtain under assume, assume bound, maximum or average, gain, Stability, system be obtain, property, LPV, system
sufficient optimality condition, nondifferentiable invex program, nonlinear programming problem, datum wherein clarke, generalize gradient, define invexity, sufficient condition, nondifferentiable invex, problem without differentiability, differentiability assumption, sufficient optimality, optimality condition, invex programming, programming problem, condition be establish
Tactical airborne reconnaissance, multispectral imaging technology, Tactical airborne, Multispectral imaging, technology be satisfy, image technology, Multispectral, persistent, battlefield, Tactical, reconnaissance go dual - band, infrare imaging, airborne, reconnaissance, technology
classification - a statistical approach, ideological classification - a statistical, statistical approach, statistical method, approach The paper, paper present, method of verifying, verify ideological classification, present a statistical, verify ideological, statistical, actual vote result, ideological, parliamentary vote, assume significance level
saccadic eye movement, knowledge gathering, image understanding base, image decision support, eye movement, paper present, saccadic eye, compute tomography image, visual search, generic image feature, image feature extraction, support This paper, method of knowledge, dynamic of saccadic, visual assessment
railway freight wagon, freight wagon wheelset, freight wagon, dry friction damper, dry friction, support one end, spring with linear, linear characteristic, wagon wheelset, investigate the dynamic, wheelset that support, railway, freight, wagon, simple model
Structural invariance, pythagorean hodographs introduce, introduce by dietz, pythagorean hodograph, three - dimensional pythagorean hodograph, four - polynomial characterization, arbitrary spatial rotation, spatial rotation, Pythagorean, rotate pythagorean hodograph, hodographs introduce, spatial Pythagorean, three - dimensional euclidean space - a, invariance, Structural
radial basis function, resultant decision boundary, input layer, hide layer, conventional RBF, Optimal learning, basis function, region be report, weight matrix, learn for pattern, propose modify, radial basis, direct connection, adaptively separate, resultant decision
weight autocorrelation function, fuzzy weight autocorrelation, fuzzy weighting scheme, function for pitch, pitch extraction, speech An investigation, investigation be present, feasibility of incorporate, fuzzy weight, noisy speech, extract pitch period, incorporate a fuzzy, autocorrelation, function, extraction
symmetric positive definite, regularize conjugate gradient, positive definite system, ill - condition symmetric positive, large sparse system, linear equation, system of linear, symmetric positive, conjugate gradient method, regularize conjugate, definite system, sparse system, definite matrix, coefficient matrix, present for solve
influence firm performance, influence firm, firm performance, performance, company, training and development, development policy, medium - sized company, train, middle - sized, firm, ETD, Education, policy and practice, practice in medium - sized
rent - produce resource, select organizational design, resource - base view, story have emerge, knowledge accumulate, routine and structure, structure influence, organizational routine, influence the firm, firm, capability, resource, dynamic story, firm ability, resource and capability
order of number, number of operation, piecewise analytic function, piecewise analytic, compact interval, analytic, analytic function, approximation of piecewise, self - validate integration, piecewise, function, self - validate, integration, approximation, compact
wish to migrate, smooth flight Career, flight Career change, flight Career, Career change, depart on time, important decision, time to ensure, ensure a smooth, smooth flight, anxiety - laden process, contemplate this important, public librarianship, public, Career
conversation of million, million of chatter, charter accountant focus, Nurture the geek, accountant focus, technology, technology be neat, Internet, Nurture, account, neat, Imagine the Internet, geek, charter, focus
static state feedback, state feedback controller, linear matrix inequality, linear time - invariant system, digital redesign, digitally redesign system, simple design methodology, static state, state feedback, linear matrix, digital redesign problem, redesign system, LMI approach, original continuous - time system, system
situation awareness thirty - six, awareness thirty - six pilot, thirty - six pilot, Impact of aviation, ability to intercept, pilot situation awareness, flight, thirty - six, pathway depict, hit display, pilot situation, hit, pilot, flight simulator, awareness
tax form, Web, Tax, form, electronic tax form, web look unstoppable, electronic tax, unstoppable, vendor be rapidly, offer, vendor, move, form they offer, thousand of electronic, rapidly move
fuzzy non - homogeneous markov, non - homogeneous markov system, markov system, fuzzy Markov system, Markov, paper the theory, markov system represent, fuzzy Markov, reasoning be combine, Fuzzy, fuzzy reasoning, system, close analytic form, theory of Markov, theory of fuzzy
Semantic Web, increasingly difficult - and important - for, Semantic Web Activity, semantic web offer, Semantic Web development, Ontology Web Language, support Semantic Web, Web, World Wide Web, wide web consortium - have, Web Activity Ontology, Activity Ontology Web, Defense Advanced Research, advanced research project, research project agency
fluid dynamic system, optimal control govern, point boundary state, Pontryagin maximum principle, boundary state constraint, control problem subject, optimal control, maximum principle hold, govern by fluid, fluid dynamic, point boundary, semilinear equation, Pontryagin maximum, state constraint, boundary state
competitive facility location, multiple competitive facility, facility location problem, multiple competitive, location problem, solve the multiple, paper we propose, competitive, facility, location, multiple, problem, compete facility, solve, two - step heuristic procedure
develop knowledge basis, industrial fault diagnosis, knowledge structure derive, fault diagnosis Machine, diagnosis Machine induction, decision support system, case study, study of industrial, Machine induction, machine induction technique, decision support, knowledge, knowledge basis, structure derive, order to develop
cadastral development world - wide, development world - wide, cadastral development, cadastral, methodology, research methodology need, world - wide, development, research, social, cadastral domain, propose methodology, political and economic, domain, methodology need
semantically guide theorem, guide theorem prover, first - order theorem prover, series of version, theorem prover SCOTT, theorem prover, TPTP library, CASC, ten year, TPTP, prover SCOTT, guide theorem, SCOTT, prover, theorem
examine the Iwasawa, Iwasawa theory, non - semistable reduction, additive reduction, elliptic curve, p - adic birch, swinnerton - dyer conjecture, convert kato zeta - element, odd prime, extend perrin - riou theory, p - adic l - function, Iwasawa, reduction, conjecture for non - semistable, convert Kato
constant modulus algorithm, MIMO convolutive system, joint blind equalisation, steady - state mean - square error, constant modulus, cross - correlation and constant, modulus algorithm, MIMO convolutive, mean - square error analysis, mean - square error performance, mean - square error, multi - output system, problem of joint, joint blind, equalisation and source
string of label, continue the study, antiport rule, object, system, computation, rule, trace of object, communication of object, system with symport, antiport, halt computation, symport, symport and antiport, object collect
artificial intelligence, computational intelligence, John McCarthy, John, intelligence, father, McCarthy, today, Lisp, conception of Lisp, artificial, computational, list processing, discuss mccarthy recent, McCarthy recent research
small periodic coefficient, order elliptic problem, problem with small, small periodic, two - scale curve element, order elliptic, curve element method, paper be concern, two - scale curve, curve boundary, element method, small, curve element, problem, periodic
tight operating budget, Evanston Northwestern Healthcare, duel platform, operate budget, couple with advance, advance in client, Evanston Northwestern, healthcare network server, grown accustom, tight operating, healthcare network, healthcare, mainframe architecture, server technology, large hospital
asynchronous transfer mode, availability bit rate, interval - base abr flow, transfer mode, ABR, flow control protocol, flow control, bit rate, abr connection, present for availability, periodic explicit rate, explicit rate feedback, abr service, minimum cell loss, control
normal duration require, duration require utilization, cost structure, Project, cost, normal duration, require utilization, activity, time dependent cost - a, project network, project compression problem, dependent cost - a branch, Project scheduling, structure, dependent cost structure
World Wide Web, Wide Web, student learn objective, surf the World, learn objective, email attachment, college campus, case study, student learn, hindrance to student, send an email, Web, learn, email, World
erp system customization, erp system, encourage engagement success, engagement success, nurture client ' trust, erp customization client, costly aspect, successful implementation, major specialty, vendor and consult, ERP, client ' trust, customization, implementation of ERP, consult company
record management standard, e - business record management, e - business strategy, role in e - business, record management, play a key, record role, e - business record, key role, record, strategy, role, e - business, management, standard
max - cut problem, approximation ratio, graph, max - cut, improve approximation, approximation, alpha approximately, general graph, ratio, bound degree, goeman and williamson, problem on general, Delta, problem, Williamson
multiview x - ray cineangiocardiogram, multiview x - ray, shape from multiview, x - ray, time - vary three - dimensional, paper report, leave - ventricular shape, x - ray cineangiocardiography, shape recovery, clinical application, multiview, cineangiocardiograms, shape, recover the time - vary, recovery from x - ray
