project lasted 1812 1918, presents, coder3 excel used, adopted study, total 1863536, frequency, information correlated paper, kh, important materials, books 19th 20th centuries, text mining english grammar, order systematically
passing time detected, logic cloud computing parcel, just, security major, ddos attack using fuzzy, denial, minimized focused, field days paper, based mechanism, increasing number, environment using, smart devices needed
external disturbances, rejection, synchronous machine permanent, modeling speed control fuzzy, ready, order regulate number, slightly, error variation showed, adapted profit ready compensate, objective synthesize, presents study, revolutions
wtfig, generator paper new, stpaflc developed, control wind turbine fed, intelligent self tuning fuzzy, simulated pitch angle varies, controller, using matlab, strategies like, results compared conventional, evaluate, entire
controller results using, ran simulations experiments evaluate, inverted pendulum using fuzzy, qube servo, position initially looked, objective work, frequently, order create, used rotary, accuracy dealing significant, offers, logic regulation offers improved
set linear pid controllers, using fuzzy logic wheelchair, changes command, help individuals, prove performance, signals overshoot, amputated arms improving independent, different ways, mentioned paper, wmra aim, flc application benefits various, using proportional integral
distinct approaches controlling 3p, robot designed controllers position, step, error adding pid velocity, critical industrial automation research, ga flc, ultimately means genetic, applications require high, results serving, software obtained numerical, riveting drilling, forward term fuzzy
limit fault uses, engine paper proposes, parameters carry hierarchical, alarm achieve purpose, aero engine vibration monitoring, time, data used study, intelligent level real, method based fuzzy logic, order improve, verify algorithm shows, state experimental
presents better, results confirm, controller cuk converter fuzzy, aerospace, application paper, using matlab, processes flc designed regulate, better dynamic performance small, closed loop, overshoot damping, terms load change input, voltage
additional parameters, time series forecasting it2ifls, study proposes use, index membership, interval type intuitionistic fuzzy, takagi sugeno kang, grade fully handle level, problems santa fe tree, ring canadian lynx datasets, serve, real, benchmark time
does require mathematical, avr atmegalô microcontroller main, drives simple easy deploying, power circuit experimental, terms significant reduction, fuzzy logic controller speed, creating pulse, robotic industrial applications type, rs232 communication protocol creating, environment, width modulation, integral derivative
decision coefficient, bms important, li po, model make, fuzzy logic battery management, vehicles purpose, monitoring evaluation, component electric hybrid electric, need exact, temperature value absolute value, fls methods used, state health soh
ig investigation, static var, wind farm voltage stabilization, paper delves intricate design, slightly, results fuzzy logic, grid interface, integral pi, ultimately contributing reliable sustainable, controller prove, study explores distinctions advantages, svc plays
knowledge order, symmetry special points embedded, tsk, consequent parameters, paper presents, interval type fuzzy logic, squares algorithm, input single output siso, integrating prior, comparisons performance demonstrated simulation, active set, embedded it2fls use
play major role automobile, span, algorithm low, required choose, cost wheeler discussed, effective running electric, time compared conventional pi, weight ratio increased, presented simulation, day increase carbon emission, paper focuses brushless, bldc motor using fuzzy
control achieved predetermined, states performance, number waiting, proves offer better, q0 q1 q2 respectively, service support diff serv, terms traffic dropped, utilizes, simulation experiments effectiveness proposed, packets based priority fuzzy, limit parameters, output port internet router
indexes membership, degree allowed variable numbers, description language vhdl, tested versus software implementation, severe condition discussed chip, using high, import export, terminate current, reconfigurable, density algorithm, phase extend time better, logic traffic light controller
address key challenges including, distributed membership functions robustness, converter passive, fuzzy logic controller soft, evaluated varying loading, convergent distribution, aging effects, flc structure, pi showing superior, quadratic, matlab used validate, compared conventional
tool, control simulation, aggregation methods multiple, operating process urban rail, transit security regions fuzzy, cause accidents complexity, deal, making current, research information, making current results security, paper proposes new solution, promote management level chinese
experimental results compared ecmp, set accessible, solve problem low, characteristics separation, based fuzzy logic software, source host destination host, utilization evaluates, path using, fsem proposed, defined networking sdn algorithm, hops, hedera
industry days benefits, sugeno, ranges plants paper, swarm intelligence based fuzzy, error surface nonlinear water, offline, prepare evaluation function, model free controlling scheme, performance better simple human, using particle, unidentified processes, strictly
logic, control obstacle avoidance, used, swarm robot using fuzzy, paper presents, formation keeping formation, based real, controller used successfully control, desired distance, avoid, coordinate avoid collisions, consists behavior avoiding
fuzzy able identify user, rhythm type used like, log check correct, create device use, increase password, help officials, annually 2021 important make, entry session data, cost, order catch cybercriminals paper, typing speed application project, today
used specific rules established, doctors serve, mass index family, replace invaluable, demonstrated promising potential supporting, age, resultant, triangular trapezoidal fuzzy, approach predicting gestational diabetes, gdm key, process mamdani, employed risk
study results, regulation, voltage main limitations, fast transient response minimum, matlab extensive, point flc, variations operating, pi fuzzy logic controller, superior, obtain constant, error good disturbance, dc dc boost converter
decision making, paper presents, high efficiency serves, use artificial, characteristics determining, problems using, position measuring, existing vacant, employee, fuzzy logic recruitment systems, compliance requirements, level
way, ph sensor using fuzzy, added, reservoir irrigation water present, logic techniques programmed, paper introduces, effectively calculated, stored, approach automatically monitor, current methods, optimal plant root, arduino mega control rules
jammed, optimal accuracy real, increase time queue delay, city manado, especially crossroads, anfis growth number vehicles, intelligent traffic light control, does change according, non linear systems, causing high level, conditions situations needed smartly, occur density result
cavity, order discrete, state space computes internal, carried pid, exchanger obtained linearization, convergence paper, effectiveness proposed, graph model, fuzzy logic controller temperature, problems application, transfers inside refrigeration, genetic algorithm widely
durations dynamically, fuzzy logic traffic actuated, static parameters respond sudden, used signal control isolated, main advantage, method evaluated aimsun microscopic, respond, determined based online, flow changes, intersections using, green times provided synchro8, capability adjust maximum
spv used supply local, used extract maximum, point tracking, controller grid integration solar, deficit power supplied, paper single stage, flc adaptive network based, using matlab, anfis, particular irradiance fizzy logic, changes change, scheme validated using
obtain characteristic theorems, means, components, play important role research, fuzzy lattices complemented elements, finally obtain, special, paper present important properties, homomorphism, relation theorem complemented, congruence relation, unambiguous
switching signal results shown, agreement theoretical, horizontal axis, toolbox ensures rapid, armature, profile, electromagnetic torque ripples error, xsg tools applied variable, analyze design fuzzy logic, wind turbine emulator based, flc provides, pi regulator limitations performance
control output, expected alternative people, drive, limited land want simultaneously, aquaponics cultivation using fuzzy, pour abmix, particles study developed, number dissolved, electrical conductivity ec influential, duration pump, automatically using tds sensor, fitted ran overshoot
sugeno method embedded developed, concept internet things, temperature, design actuators exhaust, utilizes, led growth light, plants using fuzzy logic, control micro, embedded connect directly, soil moisture sensor proximity, selenoid valve, environment automatically
allows parameter, higher level classical regulators, discreteness necessity, time block poorly, systems controlling operating, production entire metallurgical, value creation automated, adjustment method blast furnace, temperature hot, cycles using fuzzy logic, research comparison various, end
theory action depending accident, divided sub systems, requires extremely, cycle time, complex iterative solutions, dynamic webster dynamic, details showed, intelligent traffic light control, proposed hybrid based, flow charts, layer application layer focus, cities proposed developed
actively used continuously modified, zero mean, work output fuzzy, researchers, simulation, salt, corrupted images, factor based, performed mixed, based switching median filter, pepper noise varies 10, terms psnr value shown
application fuzzy, properties depends, observations experimental results suggested, tolerant, astronomical images focus measure, essential factor, use, exceeds previous operators, imprecise incomplete data, presents, systems paper, overall score
version, include source code, implementation type interval, output surface, paper main functionality initial, variety researchers, discuss present aspects, contributions comments feedback open, fuzzy logic tools variety, sets, using toolkit finally significant, enabling access
parameters fuzzy logic control, determine static, permanent magnet brushless motor, drive, kw, scheme approach, environment compare performance main, objective optimization strategy improve, experimentally, illustrated simulation matlab environment, neural, analysis vector
support package arduino hardware, pid controller dc servo, flc proposed, attributed partly, simulation fuzzy logic, sisotool higher order, range operating conditions partly, paper presents design, popularity, simplicity application control arm, integral derivative, potentiometer using
adwords bidding price optimization, evidence support superiority, maximum, controller based, proposes, particular campaign paper, type interval type, performance particular, isn, adapts, method isn statistical, fuzzy inference systems google
transportation growing considerably, cut number, current, perspective information enables provide, experimentation, grammatical fuzzy logic order, software comparison existing, recommendation road accident data, life threatening thing believed, human financial losses ensuring, using matlab software, based accuracy precision recall
average model, tardiness paper addresses, interval type fuzzy hybrid, company canada autoregressive moving, optimized applying adaptive network, tardiness continuous casting operation, consequents, rule base parameter, method error high accuracy, engine main contribution, matlab multiple regression, mamdani
propose novel, multiple users, issue resource, does need, density, method simulation results, schemes require enormous level, rbs, realise autonomous interference, traditional fl, resource allocation small cell, criterion distinguishes
energy conversion, reducing wear, permanent magnet, error order, fuzzy controllers regulate rotor, results obtained using matlab, aim, rise time settling, logic pso, software discussed, clearly demonstrate good, wind conditions
apcop measures paper, perturbation result transient changes, alternative forced choice, short 16 mm, anterior posterior center pressure, detection paradigm biomechanical, experiments separate, signal sequential intervals, using fuzzy logic psychophysical, issue, false positives, 2afci standing
esteem, hold existing clients pull, end goal hold, boost, studies, retail focus assets, sensing device, approach included result help, fuzzy logic customer loyalty, using internet thing aim, programs companies improve, transmit data cloud
pv bldc motors water, logic controller based simulation, incorporation flc, compared traditional, fed, method optimize, peak currents, detection brushless, framework involves development, energy utilization, requiring integration, source results demonstrate
provides researchers, algorithms uvt srf, different, devices matlab r2022b, rectifier loads examined, gives best performance dstatcom, environment tuning process mamdani, ii fuzzy logic controllers, sugeno interval, aspects electrical, convert easily paper, centroid defuzzification method gives
trigger ttt, guarantee best quality service, paper evaluated terms, margin hom required, consuming automatic change parameters, long term evolution, lte handover previous cellular, fuzzy, average number, suggested optimization technique, consuming, contribution work ue speed
metrics, paper, problems self, maintainability autonomic software systems, logic approach discusses, challenging new era computing, new, properties automatically resolve, using fuzzy, proposal using, produces effective, management important role
derivatives makes, paper benefits second, gauss newton method, accuracy, training type fuzzy neural, glass time series results, membership function, chaotic mackey, procedure faster approach, systems novel, new, marquardt
pscad emtdc used simulate, protection scheme, performed input variables, transmission systems, peak time, gives satisfactory accuracy useful, fuzzy logic algorithm classifying, db4 employed decompose high, discrete, types paper proposes, coefficients phase zero, fault current signals dwt
training civil, simulation, combined experience expert analysis, paper propose, consistent, foq, result shows, established contains 139, score assessment model, flight operation quality assessment, model based fuzzy, approach segment according
resources associated, gpc tuning based fuzzy, method verified machine furnace, slope output considered, etm avoid redundant updates, mimo based, parameter build, order release computation communication, paper introduce event, online, multiple input multiple, finally
predictive controllers cruise control, pid, use conventional, different strengths, avoid road accidents achieve, underscore importance selecting, integral error, multivariable, presents, offs fast response overshoot, analysis anfis based, save energy enhance
allowed, tolerance proposed method, binary sequences, controller sflc built systematically, sc, real mechatronic, allowed outperform benchmark, using derived, stochastic logic based fuzzy, mean values, high noise, paper demonstrates
simulation experiments comparative tests, processor board used, fuzzy logic controller flc, indirect vector, im drive performance proposed, functions include overlap, rate, based field oriented, time digital signal, burden lowers execution, induction, allows significant
collaborative individual, fuzzy logic control developed, modern numerical methods, processes sampling period, developed university ostrava, used background, linear models helicopter, fast, help solving, magnetic levitation, science technology real, presents examples
mains ones, provided brazilian company, revealing proposal, model addition convergence speed, switch machine electromechanical device, multilayer perceptron neural, interval type fuzzy logic, malfunction component aiming, allows railway trains, associated measurements data used, derivatives, lubrication lack
motor drives considering fuzzy, gained great attention, ipmsm, voltage source inverter, response robustness steady state, set, derivative proportional integral, reference speed load, based comparative study performance, controller dtc vsi fed, error especially exist, brushless
induction motor fuzzy logic, im drives real time, total number, crisp, regulations compromising, vector control, flsc using precise, approach process, specific plant characteristics, dspace ds1104 controller environment, ability function, work presents
stability overshoot adaptive approach, technique provides fast time, environmental factors like radiation, tracking solar pv modules, increasingly encouraged adopted various, fuzzy, model 28335 setup, implemented texas instruments, emulator results obtained, point non linear curve, maximum possible energy given, dc boost converter tested
categories fatty acid, needed, troubleshooting palm, plant workers included experienced, manual root, numerical data collected, normal condition baseline, sparging steam, operating procedure sop process, able predict action, troubleshooting save, fuzzy logic model deodorizer
best story, periods, logic estimating effort scrum, applies fuzzy, point value complex, simulation proposed, process splits, size large, test behavior result shows, obtained promising, environment typically factors expressed, set software
traditional gradient, data locally, controller comprises series steps, image edge detection fuzzy, reviews effectiveness, abnormalities tumours, platforms variations logic, extract important, greater, emperically determined, analysed implementation python matlab, ai latency reduced
relieve hot, descriptors residual, owing superiority, networks wsns, spot problem level sink, total, level fuzzy logic designed, locally second, efch results, energy efficient clustering algorithm, fleec proposed paper, density distance
mobile robot heading control, output speed, analyzes, mamdani method, rise time, 3831 ms 5859 ms, bno055 sensor used determine, setpoints 90 180 270, state, using fuzzy, logic controller paper, overshoot value steady state
pendulum, tan nt type reduction, takagi sugeno, smc theory comparison, external, interval type fuzzy controller, rmse values, output mapping, presence disturbance random, decades paper, consequent parameters derived based, results efficacy proposed
fuzzy logic control developed, helicopter, background problem, partial components, presents real, change helpful, numerical methods, problem oriented teaching realized, university ostrava, followed method automatic context, technological processes sampling period, paper presents example sensitive
uncertainty complexity inherent, methods fall short handling, financial risk assessment machine, aids capturing, stakeholders making informed proactive, forests gradient, integrating, historical patterns trends furthermore, like random, hybrid model amalgamates, introduces novel, superiority
thermokarst, formed periodically, technologies negatively, components paper title text, permafrost zone affected, ice performance main pipeline, impact determined, fuzzy logic methods, trunk, passing distribution area, emergencies electronic document live, slippery roads sidewalks
derived approach, fuzzifying influencing factors based, feasibility practicality, yangtze river order effectively, statistical data, historical evaluation experience demonstrating, caused, defuzzification thirdly, classified categories, navigation obstruction risk shipwreck, traffic environment distance, base established crisp
mapping, instead use virtual, logic algorithms robot path, using camera pin, finding paper present detection, sensors results faster, closed using, novelty, state environment mobile, real, target, optimization approach like genetic
radar sensor design based, paper novel, shortcomings instance, proposed address, better, controller, fuzzy logic, error measured actual speed, moving directly away, disadvantages target tracking, 10x, reading trigger obtained
results simulation proved method, error rate error, performance compared normal, commonly use, rules order, voltage restorer dvrs commonly, readings, gains fixed, provide, operating conditions parameters, adaptive proportional integral fuzzy, pi controllers spite
electromagnetic converter rolling rotor, angular, new type, according, stator, paper presents, field according gap dimension, ecrr direct applications sun, logic control, main advantage low speed, applications, electromechanical
order improve induction, field oriented control fuzzy, phase current startup result, perfectly pursues reference, robustness new infrastructure, adopted proportional integral, simulation tests, fdfoc paper presents, rotation directions, significantly, good load torque rejection, luenberger observer used speed
road requires average, force feed vehicle engine, flc flc tested, paper aims investigate, different, solving real, throttle brakes evaluate validate, uses proportional integrator pi, generate appropriate, smooth transitioning actual, fuzzy logic control, model used assigned
paper deals, implementing non uniform, phase shift, logic controller corresponding values, amplitude obtained output, reduce lobe level, fuzzy, new, radiation, antenna array using tsukamoto, synthesis, elements spacing
program performance proposed, irradiation temperature, dc, lfb, composed kd230gx, simulation fuzzy, based mppt pv module, complicated easily, simulink paper presents, circuit controller increases, converter, powerpoint
maximum power points, simulation executed using, according permanent magnet synchronous, reliability suggested adaptive, tip, complex non linear, contains extensive, adopts ideas locate states, fuzzy logic controller, controlling wind energy conversion, calculating dimensional distances surface, profile response
output used relay operate, dc, infrared sensor, timers counters, received, addition form, study plc outseal, method position, reduce spread covid 19, elevator based fuzzy logic, realizes innovative, touchless button
define, stretching local pixel, paper proposes new, equation derived, important, form set locally, domain frequency domain, interpolation using fuzzy, histogram, issue image processing contrast, method comparison results illustrates, intensity level intensity level
time implementation, flc developed computational burden, signal wave forms output, implies, variation phases comparatively classic, paper presents, controller board ds1104, ratio high power factor, low losses, control artificial intelligence ai, magnet synchronous machines fuzzy, 25 rules 49 rules
precise voltage control adaptability, changes parameter, based quadratic, response time reduced, work aims designing, logic controller, boost converter developing fuzzy, duty cycle, widely, electronic circuit belongs family, application require, utilizing matlab
ndots based element, lmi, hysteresis make, decompose nonlinear model series, achieve high precision, fuzzy logic control pneumatic, paper proposes, loads pam validate, especially, experimental results attaching loads, stability, muscles new type
ga address issue aims, injection layer, ratio reducing interfacial tension, oil recovery heterogeneity, making efficiency accuracy, cut traditional, genetic, intelligent decision polymer flooding, plans combines, development technology significantly improve, indicate, enters late stage
based error propagation algorithm, example specific region, error, prediction study proposes, different, fls method different it2, intra inter, application woa based, optimized interval type tsk, antecedent consequent parameters, fuzzy logic wind power, whale
enzyme free, viruses immediate, intersection union, device recent developments, considered perfect candidate, gate carried, visual dsd, nature means, minimum maximum fan, making systems integral, dna implementation fuzzy, pre defined rules
paper deals, verified case study, mechatronic matlab simulink control, points improve, msc adams used, algorithms variable sampling, different modeling environments, results reached simulation different, effective approach robust controller, using fuzzy logic, trajectory, selected
just livelihood provides, stages green stage breakers, lycopene lower risk, possible, good appearance good, infertility help, et al 1995, defines product, application fuzzy logic, closely relevant surface, recognition tomato fruit maturity, breast prostate cancer osteoporosis
repeated uncorrelated measurements, fl based, operating real time make, fbhs simulation results, luxury repeated, parameter, wireless cellular networks complexity, fuzzy logic secure handover, obtain reason propose, information noted, environment simplified models assumptions, good
decision information available, set application, medicine perform better, surgery incomplete fuzzy logic, computer programs acceptable, available, supporting, studied example, factor discussed eliminate, likelihood probability paper, function generalized, eliminate conflict membership functions
probability approach used, multimachine using, vrfb supercapacitor, logic controller aflc, containing vanadium redox, sc studied hybrid wind, investigate, 14 bus, distribution hess, energy storage designed adaptive, determine rated, individual ess characteristics different
temperature, occupant presence approach proposed, current electricity, developed important factors, method automatically able, matlab gui, reduces, fuzzy logic demand load, add, result integration wireless, activities house, periods
warning driver, pic16f877a pulse, dc, ratio moving stop condition, 40 respectively dangerous, width modulation pwm, technique work, relative humidity, turned led display turned, collision car using fuzzy, sensor used measure, proposed design anti
rejection simultaneously attempt, intelligent fuzzy logic controller, indices like integral, ise, continuous stirred tank reactor, labview using data, cstr level loop, set point tracking produces, time implementation performance analysis, toolbox conventional, nicholas, effects studied
usually, hardware software packages introducing, exchange standard, fuzzy logic microsoft azure, systems compared basis, 456, associated dedicated, techniques deep neural, shown effectively serve mobile, mamdani, python library fml data, outperformed tsk
considering test set point, factor avoid degradation, rules involved performing flc, produced prbs input triggered, armax model structure, paper presents, distillation essential oil extraction, result demonstrates proposed, triggered, temperature control using fuzzy, output error difference, steam
theory action depending accident, divided sub systems, requires extremely, cycle time, complex iterative solutions, dynamic webster dynamic, intelligent traffic light control, flow charts, integrated, details showed, layer application layer focus, cities proposed developed
studies including, hybrid, usefulness proposed simulation analysis, presents, addition generates modulation signal, variable climate, able track maximum, fl control method, process order, adjust, converter ensure fast, fuzzy logic algorithm photovoltaic
flc1, mppt pv based fuzzy, conditions motivate, focus extracting, transient time power fluctuations, experimental tests validation, convertor transferring, widely industry, paper presents new, order reduce cost, panel load, irradiation surface temperature
domains education, provides recommendations suggestions, application using, health social, presents, gps analyzes student lifestyle, time time management crucial, primarily, effective output paper, fuzzy logic global, include daily, positioning
frequency control based fuzzy, table forms dimensional piece, load consumers changes, validate control actions, simulink platform carried, effort execution, states, flc signed distance mothed, restore operating, deriving, interconnected power single, compared conventional
environmental data data sent, solution better, number equipments powered directly, national grid, hardware software, photovoltaic panels fuzzy logic, switching actions, acquiring, discussed depending specific, sent, rest beeing pluged, logic software decides number
stage phase, control nonlinear characteristic photovoltaic, maximum power, finally comparison, varies coefficients kp ki, point tracking, stability maintains, pid fuzzy logic advantages, automatically varies, array feasible, temperature irradiation, terms correctness
means, detection using posenet smart, human bodies joints comparing, poses triangular, individual image article, ambient abnormal, using fuzzy, deal problem position change, ranges 90 75, recorded experiment reveals accuracy, estimation model transformed angle, guide future research designing
processing chamber, combining different parameters, different, cost required, knowledge base, deficiency weight, overcome, size captured image database, color shape, automatic grading potatoes fuzzy, proposed real time, fruits existing
poor, features lost given, major fields relating astronomical, logic based parameter, priority order, accentuate, process paper new type, stretching contrast fuzzy rules, assessment data, medical geographical, capturing image background lighting, range
include rung, new family sugeno, demonstrate orthopair, sets yager, real situations theoretical level, mild restriction, contributions produce, subclass model generalizes intuitionistic, semantically justifies, proofs, fundamental operations general, aggregation complemental fuzzy sets
defuzzification eventually formulated, efforts bridge systems, results derived normalized, used, operated max product, recognized potential, controller general form, encompasses mamdani, fuzzy control possibility theory, membership function, laws described, paper strengthened role
electronic converters, contingencies event driven, effectiveness proposed, sources ress, states simultaneously, case, response based fuzzy, commands effr required extra, using disturbance power frequency, scheme actuated rapidly flc, logic controller increasing, inertia counter
fuzzy controller design using, boost converter compared, mandani, importance non linear, defuzzification method named, concretion, cost involved having effects, automation developments main disadvantage, relations dbr validated, processing document new, computational indices considered, evaluated buck
logic based bi histogram, methods terms, equalization contrast enhancement mammograms, produce low, ssim ncc uiqi, plane mapped, evaluate performance, uncontrollable change luminance, malignancies remaining, washed, information preservation controlled, edge contemporary
simu lation, heterogeneous wireless sensor, alive long possible paper, main, algorithm succeeds increase, account set parameters, propose, period save energy, used inputs, cluster heads, zones uses fuzzy logic, related node selecting
parking space parking lot, point probability, data fusion magnetic sensor, obtain comprehensive information, decisions ability, simulation results, based fuzzy logic theory, anti, networks wsn paper, targets support, algorithm gathers, monitor
power compensation existing, static var, transient stability, electronics based technology used, shunt connected facts, individually coordination controllers, gives better quick performance, help new, types designed model tested, transmission using svc fuzzy, order overcome, bus
location using fuzzy, diagnosis photovoltaic panel using, capable handling failures, climatic, platform order, using ds1104, university biskra, technique achieved using, providing high, power supply requires efficient, effect short circuit pass, flc investigated
using remote, bayesian maximum likelihood, programming based fuzzy logic, crop classification using multispectral, functions, productivity paper gene expression, membership, usage available fertile, vital role planning, compared, studied proposed method, gep tuning
knowledge according importance early, stage, point linguistic rules incomplete, defuzzification technique usage, operators centroid, accuracy precision, engine using max min, migraine recognition usage fuzzy, express, power describing enigmatic, average 80, presented mamdani model
content ift, paper different, different parameter like dga, remnant life estimation shows, sfra water content, used, necessary actions, spot temperature, insulation condition criticality, transformer overall fuzzy model, directly evaluated diagnostic test, index power
logic controller moves, low power intake operates, axis coordinate alternately rotate, maximum, dependent resistor ldr, solar tracking based fuzzy, panels mainly influenced, path elements, stay conclusion, method hardware consists arduino, irradiance initially power window, efficiency output
variability reliability, increase resistance destabilizing factors, input variables allow form, fuzzy logic algorithm beamforming, antenna complexes setting spatial, received, formation traditional methods, definition, article provides, unmanned aerial, time specific case, topic reasons choosing
performance popular, classifying authentic fake, limited data, ones, fully connected, lstm networks model fuzzy, term, anger paper apart fully, understanding human, carefully designed modifications models, vital task computer, built telling
recognized driving, logic proposed paper solve, tricore pxros, consequently buried, buried magnet pmsm fuzzy, sensorless methods used, intensity, speeds dfc implemented, position using approximation function, selected tool, platform connected real, electrical rotor position permanent
access algorithm functional, propose security swarm wireless, know authenticity association, overcome issue protocols effectively, wi, researchers proposed, solve rogue, imperative aspect, layer model, network issue henceforth, seriously, fuzzy logic improve
customized healthcare paper, number, module fdrm computes, proposes, inference model, algorithm make accuracy, high generated, fuzzy based disease rules, reason patient, information prevent, attributes decreased traditional c4, unlike
relevant, supply complex, traditional, basis, automation heat supply greenhouse, control, engineering education, paper reviewed, fuzzy, aspects seminars relevant, logic simulation technics article, renewable
partial shading, solar array different, studied, settling time lower peak, fuzzy based pidf controller, carried using conventional, parameters, abstain gain, yields poor, multilevel converter initially test, integral derivative, controller results indicate
analysis determining percentage, coconut fruit maturity classification, paper uses, major, spectral analysis relating, fuzzy inputs, relationship, nucifera, hardness meat condition, stage based, malauhog, brown shell sound
trials resulted 1st, power capacity cause short, mamdani fuzzy logic recognize, relay_hidup3, artificial, identify predict optimize, bills addition, load shedding automation smart, monitor use electrical, basic need people complain, carried 5x 6x, average delay time 302
rate 96 movement error, based window switch actuator, algorithm used make, paper stm32f429 microcontroller, period regular epidemic, obtain local weather, mobile app realizes, comfort influenced, screw, results communication success, reduce probability, intelligent management laboratory ventilation
electrical faults induction motor, types, condition high, increasingly important, explained phases phase explains, using fuzzy logic induction, causes effects different, detect analyze, aim paper perform, presents, online, design simulation
power long range wireless, allows user view, degree membership, parameters using, life 2000 mah battery, soil moisture surface, risk semtech sx1278, fuzzy logic based flood, branch nodes placed, overall, systems underlying principles, time paper written
risk assessment analyze generic, guideline, study generates rich, data multiple, description phenomenon applied, firewall fuzzy logic approach, faced, appliance, pix 525, planning unit mampu, result obtained, malaysian administrative modernization
analysis comparison, dependable power, radiation cell temperatures environmental, simulation results clear fuzzy, conventional, oscillation providing fast reaction, modules unpredictable maximum, deal, proportional integral, doesn need settings, point trackers, pi controller photovoltaic technologies
recognition puzzle educational game, implementation fuzzy logic determining, useful setting, given players, level easy medium difficult, expected, time affected, information technology rapid, materials, community research makes, historical character, improve quality user interaction
transmission interval hi, logic saves, reports, causes difficulty, iot thermometer based fuzzy, energy proposed, lower existing traditional, based digital, allow physicians hospitals remotely, fever body, blood pressure developed recently, anytime
diagnosed using, line terminal current amplitudes, make decisions, make 38, lack accurate analytical model, presents, online, stator fault detection fuzzy, compositional, subsets corresponding membership, knowledge extraction feasibility preliminary, motors increasingly important
adaptable allows combined multitude, novel technique, regulation, popular day, point tracking, using fuzzy, order simulate, mainly attributed threats fossil, enhancing photovoltaic output performance, environment matlab, controller pulse, using specific voltage
means enrich, coefficients, simulation results demonstrate new, mse criterions, fusion methods based wavelet, using mean square error, doing, processed weights, issues new image, dwton, issue hand afl ideal, data reasonably
dwell, unnecessary data overheads rss, wlan filter information, motion trend decision, received, fuzzy logic vertical handoff, development heterogeneous, management key issues, controller value, network vcpn normalizing finally, effectively eliminate ping pong, determined procedure
39 average, left bundle branch block, anfis seven, research, premature contraction apc left, conditions normal, using adaptive neuro, interval proposed approach, 99 67, domain features extracted, fuzzy inference ecg electrocardiogram, bih database computer
prove efficiency proposed, project consider automatic, easily fitted, tracking quadrotor using fuzzy, ros, subject lot, acquired cameras obtained, input parameters results low, target order guarantee, marker, logic rules, simulation studies simulation
validated environments result shows, term distance time, obstacle avoidance using fuzzy, controller, reach goal point, recorded, puck module avoid static, algorithm model, output motor speed, ir sensors output, average complex, webots pro simulation
size suit, decision server reduce, remarkably burden, storage strengthened, information provide, challenges local analysis method, functions compute membership, paper proposes, logic inference crowd sensing, result integrating axises, device acting client terminal, finally context
taking account different theories, modeling based fuzzy, games proposed, literature mechanism provide, model enable fine, plus minus items paper, works, provide binary representation, learner working memory capacity, called dichotomic node network, low wmc estimated, grained recommendations positively affect
technique used, harmonic distortion thd input, presents, thd, matlab, estimated compared terms, fuzzy logic controller adopted, dc dc cuk converter, state transient condition, voltage tested, power factor, adopted regulation
block diagram, define, field application related, proposes, isa tr 84, average probability, fpga performed different, standards iec, conception life cycle, safety fuzzy logic controller, failure demand pfdavg, using qualitative quantitative analysis
based sliding mode control, used input output flc, applied single phase grid, generate reference, paper non linear, evaluation approaches analytical expectations, current source inverter photovoltaic, csi topology techniques investigated, guarantee global asymptotic stability, laws, synchronize network, term total harmonic
designed outer, paper investigate use, require mathematical models implementation, happen, voltage source, features days, fuzzy logic controller tcsc, does reflect real, using matlab, loop presented non, hysteresis, converter controller require
observer intelligent tools triple, controllers far, pso algorithm, qualify achieving, paper designing lqr, based energy, time response parameter, compared simulation results fuzzy, superior terms overshoot, constructed equation, ga, controlled inverted pendulum cart
changes access information access, health service delivery fuzzy, africa, meet requirements private, geo spatial adaptivity guls, availability mobile devices, groups achieve maximum, user interface gui, makers aim article demonstrate, decisions date, constituent, resources personal risk mitigation
face, forensic iot server, models calculate values report, investigations article propose hybrid, presented court law crucial, sharing utilising fuzzy, registers devices stores, propose, advance continuously, new way, logic decision, worldwide investigators face challenges
fish disease using fuzzy, 90 32, logic presented resolve, based application exploited information, price quite expensive discus, farmers detect, prevent, style colour, earliest time diagnosing desktop, mainly export, algorithm shows good, unique characteristic ranging variety
power point, types algorithms perturb, mppt fuzzy logic controller, irradiation received, observe incremental conductance algorithm, ratio buck boost, obtained setting value, 13, converter electrical, dependent weather, panel load maximum, study comparing performance
fluctuations different, density subsurface rocks gravity, field arising, resources ground, tested, time main operational drawback, reservoirs past years, especially, logic approach, technology cover large, mean reduce risk, airborne gravimeter power control
fluid unlike existing fuzzy, logic based methods use, controller intelligent cutting drilling, precisely intelligent, labor involvement use, provide spindle, practice growing, material hardness diameter, popular, speed feed rate information, terms reduction, use input parameters
lifts time validity restriction, proposes, nonstrict feedback systems paper, incurring loop problem virtue, uniformly ultimately bounded, guub, controllers contains, dynamic scaling adaptive fuzzy, virtue dynamic, surface control dsc based, globally, composite structure
fuzzy logic continuous, link success, life multiple, aco proposed, compared ant, fanet high, average number, determines neighbor nodes, based routing algorithm flying, learning reduces, requirements network, peoples
simulated matlab, controller order, control switched reluctance motor, drivers previously actively, application various, minimize torque ripple, hysteresis band, ann, fuzzy logic, converter, fed asymmetrical, qualifies used electric
