gas algorithm Recent, algorithm Recent theoretical, fluid dynamics problems, Recent theoretical results, quantum lattice gas, solve fluid dynamics, lattice gas algorithm, Recent theoretical, theoretical results suggest, quantum information processors, information processors communicating, lattice gas, communicating via classical, classical channels, fluid dynamics
parabolic system domain, gradient controllability problem, Regional flux target, domain is discussed, parabolic system, system domain, boundary gradient target, regional boundary gradient, minimum energy, flux target, target subregion, Regional flux, target with minimum, gradient target, target
GHz-plus Intel Pentium, speed-hungry mobile users, Intel Pentium, GHz-plus Intel, processor has reached, reached the coveted, tempted to buy, Laptops zip, mobile users, mobile chip, Pentium, Intel, buy a laptop, chip, mark
integration architectures Semantic, potential trading partner, communicate standards-based, purchase orders, enable enterprises, enterprise resource planning, architectures Semantic, integration, application integration capabilities, potential trading, trading partner, end application integration, Web services, architectures, Semantic
constructing smoothly-connected B-spline, B-spline surfaces, smoothly-connected B-spline surfaces, generating B-spline surfaces, generating B-spline, B-spline, explore the feasibility, Lim, Universal parametrization, parametrization, surfaces, proposed recently, Universal, feasibility of universal, paper
second-order differential equation, closed smooth boundary, closed smooth, numerical solution, operator coefficient, differential equation, operator equations, smooth boundary, evolution problem, stationary operator equations, numerical, Laguerre transformation, order in time, time variable, boundary integral equations
systems Systems characterised, fractional power poles, called fractional systems, fractional systems Systems, power poles, Laguerre orthogonal polynomials, systems, systems Systems, approximate fractional systems, Laguerre approximation, Laguerre, Laguerre orthogonal, called fractional, fractional, rational transfer functions
Low to mid-speed, mid-speed copier market, buyer guide, mid-speed copiers, universal adoption, copier market, mid-speed, Low, copier, market, remaining vendors plan, digital, analogue copier, digital solutions, adoption of digital
active power filter, Single-phase shunt active, power filter, shunt active power, advanced active power, nonlinear current loads, active power, instantaneous harmonic components, instantaneous harmonic, harmonic components, current loads, harmonic components generated, shunt active, filter, power
sensor failures Studies, linear time invariant, time invariant systems, sensor failures, asymptotic tracking problem, failures Studies, Studies the reliability, reliability with sensor, factorization approach, linear time, time invariant, Tracking with sensor, tracking problem, sensor, failures
tourism information technology, information technology education, hospitality and tourism, tourism management programs, industrial applications, applications The purpose, examine the subject, subject relevance, tourism information, technology education, tourism management, relevance of information, tourism, information, study
e-commerce depending, Internet, discusses e-commerce terminology, e-commerce, paper discusses e-commerce, buying, Web sites, computer hardware, software products, communications formats, services, e-commerce terminology, books and Web, business, depending
learning, artificial, intelligent system, knowledge, system, Artificial intelligence, characteristics, reasoning, developments, intelligent, natural, world, artificial systems, inductive, developments in inductive
enterprise resource planning, fourth annual survey, Mid-market accounting systems, resource planning, fourth annual, annual survey, enterprise resource, accounting systems, ERP, survey of accounting, accounting, systems, Mid-market, planning, products
fast multipole method, steepest descent fast, descent fast multipole, employing parallelization techniques, MPI parallel implementation, fast multipole, MHz Intel Pentium, Intel Pentium Beowulf, large-scale linear systems, descent fast, MPI parallel, parallel implementation task, Pentium Beowulf cluster, Electromagnetics computations, computational solution
William A. Wulf, Digital Equipment Corporation, invented by William, Carnegie-Mellon University, BLISS programming language, BLISS, DEC, Digital Equipment, Ronald F. Brender, DEC implementation language, BLISS programming, language, William, Wulf, University
recursive deCastlejeau algorithm, quadratic recursive deCastlejeau, Riemannian setting, obtained by performing, Riemannian, Riemannian manifolds, recursive deCastlejeau, deCastlejeau algorithm, spheres Riemannian quadratics, usual Riemannian metrics, spheres Riemannian, quadratic recursive, curves on Riemannian, usual Riemannian, interpolation
sample covariance matrix, stationary sample covariance, adaptive quasi-Newton algorithm, adaptive minor component, minor component extraction, adaptive quasi-Newton, smallest eigenvalue, stationary sample, developed to extract, adaptive minor, minor component, single minor, higher-order minor components, extraction An adaptive, minor components adaptively
Quantized State Systems, Quantized State, QSS, piecewise constant functions, class of dynamical, state variable trajectories, continuous system simulation, State Systems, Systems, Quantized, continuous time systems, dynamical systems, piecewise constant, constant functions, State
syntenic distance, Incomplete gossip, ignoring the order, distance, translocations required, required to transform, order of genes, incomplete gossip problem, syntenic, Gossip, gossip problem, number of fusions, minimum number, Incomplete, classical gossip problem
comparison of stages, stages of growth, critical success factors, Global comparison, critical success, success factors, international organizations, growth based, increasing globalization, organizations is faced, complex task, task of dealing, multiple critical success, North America, selected geographic regions
advanced nonlinear finite-element, nonlinear finite-element method, cable-stayed bridges, aerostatic stability, Advanced aerostatic stability, finite-element method Based, limit point instability, aerostatic stability analysis, Santou Bay cable-stayed, advanced nonlinear, aerostatic, cable-stayed, concept of limit, limit point, bridges
achieving business excellence, competitive advantage Organizations, competitive advantage, competitors for achieving, advantage Organizations, processing transactions, business excellence, efficiently no longer, achieving business, advantage, Data, information faster, Organizations, Data mining, business intelligence system
nonlinear complementarity problems, case This paper, paper proposes, Numerical validation, complementarity problem, validation method, nonlinear case, complementarity, validation, nonlinear, problems, validation procedure performs, solutions of complementarity, solutions, Numerical
linear stochastic systems, linear stochastic, fault tolerant control, stochastic systems subjected, fault tolerant, unknown inputs, integrated robust fault, robust fault detection, Fault, sensors of linear, detection and isolation, paper presents, presents an integrated, actuators or sensors, Fault diagnosis
Monte Carlo method, Monte Carlo, adjoint diffusion equation, Carlo method, convective velocity, form of integrals, case of isotropic, diffusion trajectories, closely-spaced diffusion trajectories, directional derivative, adjoint diffusion, isotropic diffusion, space derivatives, Euler scheme, diffusion
intracavity photon statistics, multi-index Lucas type, Lucas type polynomials, Dickson type, Lucas type, photon statistics, applications in quantum, quantum optics, optics We discuss, discuss the properties, encountered in problems, problems of intracavity, intracavity photon, introduced multi-index Hermite, recently introduced multi-index
Rocket prototype wheelchair, Rocket prototype, powered wheelchair, innovative design features, specifically Working Model, static stability angles, Rocket, Product development, model, stability, Rocket TM powered, stability angles, wheelchair, static stability, created to aid
artificial life modeling, artificial life, life modeling, article aims, aims to show, lexico-syntactic aspects, fertile ground, Natural language, ground for artificial, life This article, artificial, life, language, aspects of language, Natural
case-based reasoning Case-based, reasoning Case-based reasoning, case-based reasoning, solving methodology commonly, reasoning Case-based, problem solving methodology, artificial intelligence, large-scale case-based, case-based, CBR, large-scale CBR, reasoning, problem solving, cases, proposed
Constraint Satisfaction Problem, dense Constraint Satisfaction, Property testers, Satisfaction Problem, relaxed only slightly, NP-hard languages, subexponential time, Satisfaction, Property, Constraint, testers, graph problems, Ron constructed property, dense Constraint, Rubinfeld and Sudan
Multiple comparison methods, pairs of population, comparison methods, investigate differences, differences between pairs, Multiple, population, comparison, methods, sample data, statistical software packages, MCMs, generally, investigate, differences
finite element approximations, finite element, d-wave superconductors, conventional Ginzburg-Landau model, Ginzburg-Landau model, recently proposed, d-wave paring symmetry, optimal error estimates, finite, approximations, superconductors, element, complex valued order-parameter, multicomponent complex order-parameter, model
Challenge Paper Australasia, Fletcher Challenge Paper, Paper Australasia, supply-chain optimisation model, Challenge Paper, describe the formulation, formulation and development, paper industry, Supply chain, supply chain details, model for Fletcher, paper, paper machine, Australasia, FCPA
emergency nurse practitioners, Social presence, emergency nurse, nurse practitioners, treatment service, minor accident, accident and treatment, MATS, doctor, studied consultations, consultations, teleconsultation, communication, ENPs, Social
exploring one thoughts, thoughts and feelings, work journal, work, Keeping, Keeping a work, work decisions, journal, librarianship, decisions, exploring, thoughts, feelings, job satisfaction, facilitating self-renewal
long distance travel, Jack Going freelance, Hit the road, variety and independence, higher earnings, freelance offers, offers the potential, potential of higher, permanent employment, long distance, travel and periods, removes the benefits, Jack, benefits of permanent, Hit
Dousing terrorist funding, Dousing terrorist, terrorist funding, terrorist money flows, Patriot Act compliance, Act compliance activities, Patriot Act, American financial system, Dousing, funding, mission, terrorist, money flows, expand its Patriot, Act compliance
present study investigated, present study, study investigated, investigated the effects, driving behavior, Participants, low glare source, discomfort glare, beam light source, glare, driving, driving performance, light source mounted, performance, glare source caused
multistate degenerative system, one-component degenerative system, monotone process model, geometric process equivalent, process equivalent model, degenerative system, geometric process, failure states, working state, model, process model, degenerative, process, equivalent model, states
pasteurisation process Modifications, high temperature-short time, temperature-short time pasteurisation, time pasteurisation process, process Modifications, dynamic matrix control, algorithm are presented, dynamic matrix, presented to deal, deal with transfer, transfer functions, functions with varying, Predictive control, matrix control, varying parameters
mobile liquid interface, Mathematical modelling, exponential law, law of permeability, permeability variation, interface We construct, construct and study, study a two-dimensional, two-dimensional model, Lyapunov class, liquid interface, mobile boundary, system, mobile liquid, modelled by curves
Non-asymptotic confidence ellipsoids, least-squares system identification, derive non-asymptotic confidence, finite sample properties, confidence ellipsoids, derive non-asymptotic, least-squares system, system identification, finite sample, unlike asymptotic theory, data points, properties of least-squares, ellipsoids, Non-asymptotic, confidence
linear least squares, weighted linear, squares problems, rank is proposed, full rank, A-stable numerical method, squares, method, linear, weighted, Liapunov stability, dynamic method, theory of Liapunov, problems, solving the weighted
power stations Tszisyan, thermal power stations, thermal power, Information-processing and computing, power stations, power units, computing systems, stations in China, China, China The development, development and commissioning, power, commissioning of information-processing, computing, Tszisyan
generalized Pareto distributions, progressive censoring schemes, generalized Pareto, type-II censored order, Pareto distributions, ordinary order statistics, progressive type-II censored, generalize a characterization, characterization property, censored order statistics, ordinary order, paper we generalize, order statistics, Pareto, censoring schemes
binary Legendre, Legendre or quadratic, pth power residues, quadratic residue sequences, polyphase power residue, family of binary, multiple-valued case, case by employing, residue sequences, pth power, quadratic residue, polyphase representation, Linear complexity, sequences, Legendre
Nova Scotia, tertiary care hospital, hospital in Nova, care hospital, regional hospital, tertiary care, Scotia, hospital, Nova, response rate, rounds, ratings, grand rounds, evaluations, remote sites
support e-commerce transactions, approaches Solving queries, ontology-based approaches Solving, multiple information resources, issues in ontology-based, integrating information, multiple information, queries to support, support e-commerce, transactions can involve, involve retrieving, retrieving and integrating, approaches Solving, Solving queries, information resources
knowledge and skills, electronic publishing, indispensable measure, measure to gain, gain knowledge, Copyright, electronic, Internet, publishing, electronic environment, computers, skills, effectively protect copyright, copyright infringement, spreading
local surface topology, cutting edge, local surface, arbitrary cutting edge, cutting edge design, cutting, surface, edge, complex sculptured surfaces, multi-axis machining, complex sculptured, Part, simulating multi-axis machining, local, topology
Oxford University Press, artificial life perspective, International Conference, work continues investigation, University Press, artificial life, distributed environmental control, MIT Press, emergent distributed environmental, life perspective, simulated emergence, evolving microcosms, microcosms This work, work continues, Gaia theory
Electronic books, consumer market, exaggerated E-books, reading devices, Library Journal review, Library Journal, E-books will survive, E-books, Journal review, E-book revolution, sustainable business model, reading, devices, Electronic, reports
applied was selected, interested in documenting, analysing and archiving, data users, FlexPro words, aim to serve, complex FlexPro, archiving data, range of data, Weisang, FlexPro, data, products which aim, Simple, users
rail transport organization, train crew management, crew, train crew, crew management involves, duty timetable, train, involves the development, rail transport, management, crew management Train, management Train crew, timetable, train timetable, planning stage
provided many opportunities, Database technology, libraries, digital, Database, Database technology advancements, technology, digital libraries, advancements, advancements have provided, issues, provided, opportunities, information accessibility, opportunities for libraries
parallel Web server, Web server nodes, parallel Web, Web server, load dispatching algorithm, Web, algorithm, load, load dispatching, distributing requests, parallel, server, load node, Web site, dispatching
literature review, review was conducted, conducted to investigate, investigate the extent, speech-language pathology, telehealth, studies, outcomes, patient outcomes, speech-language, Research, pathology, absence of studies, domain of speech-language, telehealth applications
software component marketplace, component marketplace, software component, multi-agent system infrastructure, infrastructure for software, implemented prototype, multi-agent system, ontological perspective, marketplace, system infrastructure, system architecture, component, software, UML extensions, introduce a multi-agent
open access, access, publishing, practice for open, practice, electronic publishing revolution, publishing journals, open publishing model, open, business, work, electronic publishing, publishing revolution, revolution will ensure, transition
Police Communication Centre, setting call centre, call centre staffing, call centre, staffing levels Motivated, facing the Police, centre staffing levels, levels Motivated, setting call, Centre in Auckland, priority customers, centre, staffing levels, Auckland, Zealand
service model treats, current Web service, Web service model, requests equivalently, model treats, treats all requests, TCP connection management, Web, current Web, Web service, service, application-level TCP connection, inactive TCP connections, connection management mechanisms, TCP connection
naive end-user, end-users make, Boolean searching, Boolean operators, effective solution, Boolean, technical solution, Internet users, moving, searching, reality into account, solution, users, carefully constructed Boolean, end-user
ACL, agents, dynamic system, dynamic, article we present, ACL includes, system, anonymous interaction protocol, dynamic multi agent, agent systems, multi agent systems, system of agents, main design goal, anonymous interaction, interaction protocol
Lachlan nonsplitting bases, computably enumerable degree, nonsplitting bases, Lachlan, enumerable degree, LNB, distribution of Lachlan, nonsplitting, computably, enumerable, degree, nonbounding of Lachlan, bases, wVvV, low hierarchy
mixed problems, finite element discretisations, finite element, general framework, framework for analysing, analysing the convergence, finite, element, discretisations, mixed, problems, multi-grid solvers applied, discretisations of mixed, nonconforming type, order finite element
treatment machinery, machinery and materials, health care, technological advances, Technology, market trends, predictive segmentation, technology gains, predictive, segmentation, advances, health, Responding to market, Responding, care
strict positive real, design Presents theory, Presents theory, system design Presents, Observer-based strict positive, positive real, design Presents, SPR, Presents, feedback control, Observer-based strict, stability analysis, feedback, control, feedback control system
tethered flying wing, flying wing developed, thrust-vectored flying wing, flying wing, experimental tethered flying, developed at Caltech, forward flight, wing developed, LPV approach, receding horizon, paper deals, forward flight models, receding horizon methods, control Lyapunov function, receding horizon optimization
MFC calibration links, links the physical, physical parameters, physical characteristics, parameters of nitrogen, control system technology, system technology, physical, MFC control system, process improvements, MFC, gases, surrogate gases, process gases, control
Reactive Tabu Search, heuristic methods, methods for conformance, paper we focus, conformance test selection, test selection, Tabu Search, Simulated Annealing, conformance test, test selection problem, Reactive Tabu, Genetic Algorithms, problem, Application of heuristic, RTS
ultrasound medical images, Frequency decomposition, subject paper, wavelet packets, errors and discrepancies, decomposition and computing, computing of ultrasound, medical images, images with wavelet, paper, Frequency, Cincotti, packets, errors, highlighted
Ecological interface design, designing human-computer interfaces, challenges Ecological interface, interface design, theoretical framework, framework for designing, designing human-computer, Ecological, challenges Ecological, EID, interface, complex socio-technical systems, design, progress, progress and challenges
Ryerson University Library, academic library, Job rotation, damned, library, Job, University Library, development tool kit, Ryerson University, rotation, job rotation-the systematic, organizational development tool, rotation-the systematic movement, job rotation methods, print and Internet
government spending review, allocated Pounds, grid unlocks research, year e-science research, Office of Science, spending review, Science, Computing grid unlocks, Science and Technology, grid unlocks, Technology was allocated, year e-science, Pounds, John Taylor, Office
continuous chemical reactors, class of continuous, robust control law, continuous chemical, chemical reactors, reactors The synthesis, Sliding-mode control scheme, systems is presented, control, sliding-mode uncertainty estimator, regulation control, nonlinear systems, class, control scheme, proposed control scheme
active power filter, shunt active power, controlled shunt active, power quality improvement, improve power quality, three-phase shunt active, power filter, active power, power quality, logic controlled shunt, Fuzzy logic controlled, shunt active, reactive power required, power, improve power
software nearing saturation, accounting software nearing, nearing saturation, vendors are training, software nearing, training resellers, cross-sell, market for accounting, accounting, software, saturation, vendors, art, market, nearing
computer-aided share trading, propose probabilistic characteristics, aspects of computer-aided, problems of statistical, statistical analysis, share trading, analysis of share, price series, propose probabilistic, Mathematical aspects, share prices, share, characteristics to describe, mathematical modelling, probabilistic
infinite interval, finite or infinite, general exponential weights, orthonormal, define orthonormal polynomials, weights, orthonormal expansions, interval, expansions for general, general, finite, define orthonormal, boundedness, polynomials, exponential
law The rising, real-time Linux variant, perceived cost savings, traditional RTOS, real-time Linux, Linux variant, Embedded Linux, combined with perceived, cost savings, rising popularity, perceived cost, embedded developers, Linux, popularity of Linux, spurred many embedded
multi-step matrix game, safe ship control, differential game model, matrix game, paper describes, safe ship, describes the process, game model, collision situation, control, safe ship trajectories, game, ship, RISKTRAJ computer program, model
input current waveform, Current waveform control, distorted receiving-end voltage, receiving-end voltage harmonics, input power factor, high input power, receiving-end voltage, proposed input current, current waveform includes, input current, rectifier circuit, waveform control, paper presents, realizes simultaneously, simultaneously the high
team members Pressured, fast response times, flexible organizational forms, virtual teams, mass customization, organizational forms, virtual, virtual team members, fast response, information technology, teams, Pressured, satisfaction, trust, team members
systems Current discussions, reference systems Current, systems Current, discussions and trends, digital reference, Current, digital, reference, services, asynchronous services, real-time digital reference, digital reference systems, necessity, fiction, discussions
Internet protocol technique, Internet protocol, hierarchical data security, data security protection, proposed HDSP scheme, high data security, hierarchical data, HDSP scheme, technique with hierarchical, protocol technique, Internet, proposed HDSP, voice over Internet, authors propose, data
smooth projective curve, elliptic curve, elliptic, curve, tors, projective curve, Weierstrass equation, rationals, point, defined, Mazur, Isogenous, Weierstrass, pair, called
enabling information technologies, production and sales, globalization of production, advancement of enabling, Supply chain infrastructures, system integration, modeling SCIs, Supply chain, enabling information, supply chain integration, information sharing, integration, information sharing methodologies, information, Supply
linear DSP transforms, linear DSP, DSP transforms, generate multiplierless architectures, fast algorithm, efficient algorithm, pseudopolynomial run-time, run-time and memory, memory requirement, worst case, case is developed, developed to generate, wordlengths for constant, constant multiplications, DSP
makers, makers are dwindling, dwindling, buy, planning to make, planning, make, purchase, things
programming and branch, branch and bound, operations research approach, sugar cane improvement, superior clones, cane selection Selection, operations research, important aspect, long and expensive, cane improvement programs, expensive process, research approach, sugar cane selection, sugar cane, selection
Gaussian white noise, Digital-domain self-calibration technique, white noise input, noise input signal, Gaussian white, white noise, video-rate pipeline, self-calibration technique, signal is presented, converters based, noise input, technique for video-rate, input signal, Gaussian, converters using Gaussian
International law firm, law firm Linklaters, content management system, Linklaters has installed, move online, law firm, installed a global, global document, accessible to clients, helped it move, management system, workflow, International, Linklaters, document and content
No-go areas, Alex Fry, No-go, areas, important customer group, Alex, content management, customer group, content, management, Fry, ensure website access, ensure website, website access, group
average case setting, operator equations, average case, case setting, approximate solution, solution of operator, Average optimization, optimization of operator, operator, optimization, relevant optimization problem, Average, equations, approximate, paper
collaborative program Information, program Information literacy, program Information, critical media literacy, collaborative program, critical media, media literacy, media literacy opens, Information, information-literacy skill levels, Plug-ins for critical, important in academic, academic careers, literacy, academic
busting the budget, argues Darren Atkinson, multi-channel content delivery, replace traditional methods, Darren Atkinson, content delivery, argues Darren, multi-channel content, business communications, beginning to replace, print and content, MCCD, CTO, Connecting the business, delivery
group of eigenvalues, necessarily diagonalizable matrix, computing invariant subspaces, large matrices, approximate invariant subspace, Riccati-based preconditioner, diagonalizable matrix, preconditioner for computing, introduces and analyzes, analyzes the convergence, convergence properties, computes an approximation, invariant subspace, large not necessarily, computing invariant
intelligent system combining, Progressive Reasoning, intelligent system, Intelligent multiple MEthods, combines a form, Progressive, form of progressive, system combining, intelligent, PRIMES, reasoning, resource-bounded reasoning techniques, so-called multiple methods, multiple MEthods System, system
major buying decisions, Spatial solutions, major buying, office furniture, design of furniture, furniture and staff, office, furniture, Spatial, solutions, decisions, stress, design, staff, major
economical structural-type functions, ecological and economical, Simulation of ecological, structural-type functions, optimization approach, ecological, structural-type, functions is proposed, Simulation, functions, proposed, explicit analytical form, optimization, approach, analytical form
learning package, interactive and online, VONNA, HBP, learning, package, multimedia learning package, multimedia, online environment, hotel, students, planning, Internet, novices to study, introduced
number fields, Theta functions, attached to quadratic, quadratic forms, theta functions attached, investigate theta functions, harmonic coefficients, coefficients over number, functions, Theta, investigate theta, fields We investigate, number, symplectic theta functions, functional equation
exclusively kinetic two-link, kinetic two-link underactuated, two-link underactuated mechanical, underactuated mechanical systems, mechanical systems Analysis, Analysis of exclusively, kinetic two-link, exclusively kinetic, mechanical systems, systems Analysis, Analysis, kinetic, two-link, exclusively, underactuated
PDA Tom Berry, Tom Berry, PDA Tom, Berry has lost, risks and benefits, benefits of working, lost his PDA, PDA, Tom, Berry, Problems, move, lost, understanding, risks
including collaborative editing, applications require co-operative, co-operative work support, require co-operative work, Engineering plug-in software, group awareness, messaging and automated, co-ordination agents, plug-in software components, software applications require, automated notification, notification and co-ordination, support collaborative work, Engineering plug-in, plug-in software
Cornwell Management Consultants, records management policy, electronic records management, Marc Fresko, Fresko of Cornwell, Cornwell Management, management policy, developing your electronic, electronic records, Marc, workflow, management, Fresko, Cornwell, Consultants
Robot trajectory control, neural networks, Robot trajectory, type of neural, NN-based control system, controlling the trajectory, control system, neural, trajectory, proposed NN-based control, fixed-gain feedback controller, NN-based controller employs, control, Robot, NN-based control
DEVS simulation, intrusion detection systems, distributed intrusion detection, attempts to identify, identify unauthorized, abuse of computer, IDS, attacks, detection systems, DEVS, detection, model, distributed, intrusion, systems
Reference Books, Guide to Reference, Books The author, Books, books-the new edition, reference, Guide, GRB, importance in librarianship, edition, librarianship, biggest change GRB, change GRB, works, books-the
study group examines, issues auditors face, gathering electronic information, study group, group examines, examines the issues, auditors face, face in gathering, information as evidence, gathering electronic, electronic information, auditing, audit, electronic, study
Quadratic Gauss sums, finite commutative rings, article explicitly determines, Gauss sums, sums over finite, article explicitly, Gauss, finite, commutative, rings This article, determines the quadratic, Quadratic, rings, sums, article
designing feedback controllers, discrete-time scalar systems, command input, fixed-order controllers, feedback controllers, propose an approach, approach for designing, designing feedback, fixed order, order to minimize, peak magnitude, Optimization-based design, scalar systems, upper bound, tracking error
Single-phase half-bridge converter, half-bridge converter topology, neutral point switch, point switch clamped, factor half-bridge rectifier, power factor half-bridge, power quality compensation, high power factor, switch clamped scheme, half-bridge converter, proposed control scheme, converter topology, compensation A high, neutral point, point switch
computer-mediated tourism distance, tourism distance education, University of Otago, computer-mediated teaching resources, tourism distance learning, Development of computer-mediated, tourism distance, distance learning model, Otago model, presents a qualitative, qualitative account, Internet-based learning resource, distance education, tourism, University
Bermudez-Moreno algorithm, constant parameters, duality numerical algorithm, algorithm, Moreno, algorithm strongly depends, solving variational inequalities, constant, parameters, convergence, Bermudez, algorithm strongly, Bermudez-Moreno, asymptotic error constant, presented
focal Bezier curves, Bezier curves, focal Bezier, curves, Bezier, nonparametric Bezier curves, polar coordinates, elucidate the connection, Bezier curves characterized, Cartesian coordinates, sectrix curves, polar, coordinates, spirals, rational Bezier
strongly P-positive operator, parabolic solution operators, general elliptic part, approximate matrix arithmetic, strongly P-positive, data-sparse and accurate, accurate approximation, P-positive operator, H-matrix approximation, exponential with applications, applications We previously, previously developed, parabolic solution, matrix arithmetic, developed a data-sparse
power transmission line, transmission line fault-location, line fault-location system, paper describes, describes the locating, wavelet transform, line, transmission, system, fast fault location, locating system, wavelet, transform, location, fault
front axle suspension, front axle, stroke dependent damper, stroke dependent, suspension deflection, suspension, dependent damper, axle, damper, dependent damping curve, front, dependent, stroke, multibody system dynamics, truck
critical organisational change, organisational change, recently emerged, peripheral aspects, finance department, centre of critical, function, augmenting global performance, function has recently, change, recently, emerged, peripheral, aspects, finance
high turn-off resistance, power electronic systems, power electronic, high level, high turn-off, level of stiffness, stiffness brought, switches as biresistors, low turn-on, modelling, electronic circuits remains, simulation, power, Power System Blockset, resistance
Hermitian Toeplitz systems.II, Hermitian Toeplitz, Toeplitz systems.II, ill-conditioned Hermitian Toeplitz, generating functions, functions, Hermitian, Toeplitz, circulant preconditioners, preconditioners, circulant, systems.II, generating, SIAM, uniformly bounded
post-processing technique based, Pitch post-processing technique, technique based, Pitch post-processing, based on robust, based, robust statistics, technique, Pitch, median filtering technique, robust, statistics, proposed method compared, proposed, pitch error rates
delay integro-differential equations, constant complex matrices, Stability of Runge-Kutta, complex matrices, constant delay, constant complex, Runge-Kutta methods, tau, study stability, linear equation, methods for delay, delay, theta, integro-differential, Runge-Kutta
symmetric linear constraints, linear constraints, Minimizing blossoms, symmetric linear, close dependence, control polygon, Polya frequency-control polygon, linear, constraints, blossoms under symmetric, minimization problem, elementary symmetric polynomials, Bezier curve, minimization, polygon
wealthy and wise, Pounds, document management, Healthy, NHS spending, total Pounds, health sector, wise, health sector document, management, David Tyler, NHS, document, sector, sector document
Brownian excursion, hashing with linear, hashing table, excursion and coalescence, linear probing, empty places, Brownian, hashing, Phase transition, places, cars parking, parking blocks, noncomputer science-minded reader, log log, log
dynamical uncertainty Deals, input dynamical uncertainty, input dynamical, uncertainty Deals, disturbance attenuation, nonlinear systems, input, Deals, dynamical, uncertainty, disturbance, nonlinear system satisfies, nonlinear, attenuation, systems with input
rotation-invariant spatial Pythagorean-hodograph, spatial Pythagorean-hodograph curves, Pythagorean-hodograph, rotations is addressed, exhibit closure, Hermite, Hermite data, curves, spatial Hermite data, Hermite interpolation, spatial, rotation-invariant spatial, interpolation, data, addressed
service providers, changing landscape, business intelligence, intelligence to wireless, wireless networking, networking to service, accounting, Wired, providers, landscape, business, intelligence, wireless, networking, service
attended Judith Bardwick, Judith Bardwick presentation, ALA annual convention, long-term career satisfaction, personal life continually, Judith Bardwick, attended Judith, ALA annual, library conference, valuable sessions, understand the phenomenon, strategies she suggested, suggested to rejuvenate, long-term career, career satisfaction
portfolios CPA providers, financial planning services, Account aggregation, portfolios CPA, CPA providers, shaping up portfolios, providers of financial, financial planning, planning services, services are providing, providing clients, unified view, CPA, Account, aggregation
research develops design, develops design recommendations, improve the robustness, cues This research, develops design, Surface textures improve, participants matched, depth, surfaces, stereoscopic depth cues, matched, Surface textures, depth cues, participants, textures improve
variational calculus problem, integrant convexity, nonconvex problems, calculus problem, conditions of integrant, calculus A solution, variational, calculus, problem is studied, Existence theorems, convexity, problems of variational, Existence, theorem, conditions
integrals Positive systems, Positive systems possessing, positive systems, integrals Positive, possessing first integrals, positive, systems possessing, integrals are considered, integrals, systems frequently occur, systems, Stabilization of positive, level set, considered, possessing
land administration, task of keeping, land, dynamic aspect, system design, often-forgotten component, administration systems, record land tenure, basically record land, dynamic component, developments, society, aspect of land, dynamic, system
accountable certificate management, certificate management, create contradictory statements, accountable certificate, Eliminating counterevidence, certification authority, counterevidence with applications, applications to accountable, paper presents, increase the accountability, making it intractable, certificate, management This paper, management by making, create contradictory
unimodular Gaussian lattices, Gaussian lattices, unimodular Gaussian, lattices of rank, Gaussian integers, integral lattices, lattices, Gaussian, unimodular, Niemeier lattices, classify even unimodular, rank, unimodular integral, ring of Gaussian, integral
XML typechecking problem, XML, XML document conforms, XML document, XML schema type, XML typechecking, XML schema, problem, XML documents generated, DTD, program, document, called, type, valid
inputs and outputs, module placement problem, interconnection length, Module placement, determine the co-ordinates, co-ordinates of logic, boundary constraints, logic modules, modules overlap, placement, modules, boundary, constraints, related modules adjacent, tree with boundary
explosion Financed, Financed by advertising, Web ad explosion, online marketers, aggressive tactics, advertising dollars, dollars from big, marketers are embracing, embracing more aggressive, Financed, Web, online, tactics, explosion, advertising
multilayer feedforward neural, feedforward neural networks, neural networks trained, feedforward neural, extended Kalman filter, neural networks, Kalman filter algorithm, neuronal activation functions, extended Kalman, Kalman filter, activation functions, authors investigate, function, activation, types of neuronal
Generic simulation approach, Generic simulation, feed rate, feed rate scheduling, cutting force coefficients, Part, cutting, rate, multi-axis machining, force, machining, cutting force, feed, force coefficients, approach for multi-axis
dramatically improve Web-based, improve Web-based services, improve Web-based, Web-based services, semantic Web, differentiating between taxonomies, services and products, taxonomies and ontologies, dramatically improve, semantic Web expands, WWW, Web, Web-based, Web expands basic, semantic
conversation protocols, joint intention, joint intention theory, protocols, landmarks, intention theory Conversation, joint, conversation, intention, partially ordered landmarks, ordered landmarks, states, theory Conversation, world, partially ordered
generic IP problem, integer programming Recently, Thomas' truncated Grobner, truncated Grobner basis, geometric Buchberger algorithm, integer programming, Grobner bases, algebraic integer programming, Grobner, Minimised geometric Buchberger, Grobner basis method, Grobner bases generated, geometric Buchberger, Buchberger algorithm, large Grobner bases
fractional delay filter, high-resolution fractional delay, short coefficient computing, coefficient computing time, small number, number of multipliers, fractional delay, delay filter, time is presented, output sample, short coefficient, computing time, FDF design method, frequency FDF design, multipliers A wide-bandwidth
contained in omega, min limiters, function max, partial recursive, Max, recursive, min, omega, intersection, limiters, contained, function, partial, easily, recursive set
contoured actuator valves, steam distribution system, permit appreciable dynamic, appreciable dynamic loads, final control valve, operating conditions, actuator valves, system of steam, steam turbines, vibration reliability, reliability of poppet, poppet and contoured, selecting the shape, final control, permit appreciable
