gas algorithm Recent, algorithm Recent theoretical, fluid dynamics problems, Recent theoretical results, solve fluid dynamics, quantum lattice gas, lattice gas algorithm, Recent theoretical, theoretical results suggest, quantum information processors, algorithm Recent, information processors communicating, dynamics problems, lattice gas, communicating via classical
computer science, Baylor University, computer, science, humane tool, tool for aiding, perform adequately, substantial difficulty, students, aiding computer science, computer science department, Baylor, sophomore, Baylor has observed, objective
DOF control scheme, integral processes, controlling integral processes, processes with dead-time, DOF control, control scheme, DOF internal model, Control, disturbance observer-based control, DOF, observer-based control scheme, DOF internal, Disturbance observer-based, Disturbance, internal model control
telecardiology service, hundred general practitioners, Assessment of prehospital, telephone line, prehospital chest pain, portable electrocardiograph, chest pain, telecardiology, ECG, hundred general, prehospital chest, general practitioners, telecardiology service allowed, chest, pain
George Mason University, Enterprise Engineering Laboratory, George Mason, Mason University, Boeing Company, Engineering Laboratory, University was contracted, Company to develop, Enterprise Engineering, n-tier hub technology, Laboratory at George, first-tier aerospace supplier, laboratory environment, large first-tier aerospace, n-tier hub
analytic transcendental function, Explicit solutions, transcendental equations, analytic transcendental, transcendental function, equations A simple, function is presented, Cauchy integral theorem, explicit expression, simple method, solutions for transcendental, formulate an explicit, exact expression, Explicit, transcendental
Multimedia applications require, services Multimedia applications, differentiated services Multimedia, Multimedia applications, applications require high, Transmission of real-time, services Multimedia, applications require, guaranteed quality, require high bandwidth, delivering MPEG videos, Multimedia, real-time video, require high, current Internet
Airline base schedule, rigorous airline base, base schedule optimisation, Airline base, base schedule, rigorous airline, schedule optimisation, base, schedule, Airline, optimisation, aircraft schedule optimisation, system for rigorous, underlying problem structure, system
mobile telecommunications industry, mobile service providers, data mining approach, Turning telecommunications call, mobile telecommunications provider, mobile service, proposed technique, service provider wishing, mobile telecommunications, data mining, competitors open, great concern, call details, telecommunications call details, churn prediction
Waltzing through Port, Web services follow, businesses and consumers, follow the trusting, trusting model, powerful payloads, payloads to travel, travel between businesses, Web services, store Web services, services follow, Web security, Port, Internet, Web
derive asymptotic expansions, Struve function, Kelvin functions, Asymptotic expansions, derive asymptotic, special functions, expansions, Asymptotic, functions We derive, Struve, Kelvin, functions, Numerical evidence, function, special
discrete time series, time series data, time series, Differential and integral, found that discontinuity, discontinuity plays, plays a crucial, crucial role, role in natural, discrete time, integral calculus, natural evolutions, Lin, time, series data
quantified formula obtained, structure, study the computational, obtained by quantifying, structure trees, quantifying the variables, quantified formulas, quantified, Hunt III, Exploiting structure, computational problem, formula obtained, terms, local reductions, sum
piezoelectric laminates Exact, laminates Exact solutions, laminates Exact, thermoelectroelastic laminated plates, coupled thermoelectroelastic behavior, exact solution, thermoelectroelastic laminated, exact, laminated plates, static analysis, coupled thermoelectroelastic, composite laminated plates, piezoelectric laminates, piezoelectric, thermoelectroelastic behavior
nonlinearly reconstructed near-infrared, reconstructed near-infrared tomographic, nonlinearly reconstructed, Image error, near-infrared tomographic images, Image, error, tomographic images, analysis of nonlinearly, reconstructed near-infrared, near-infrared tomographic, Image error analysis, Statistical, minimization, nonlinearly
finite time extent, estimating perturbation bounds, finite trajectories, finite time, time extent, trajectories is considered, perturbation bounds, estimating perturbation, trajectories, finite, integral quadratic constraints, trajectories with finite, considered, Lagrange relaxation, extent The problem
quantitative parameters describing, pulmonary arterial, Pulmonary perfusion patterns, pulmonary arterial pressure, determine whether quantitative, synthesized to make, make a reasonable, reasonable estimate, perfusion, perfusion images, Pulmonary, arterial pressure, image parameters describing, perfusion patterns, arterial
ITNET Graham Urquhart, Information management vendors, Graham Urquhart, ITNET Graham, Information management, content management, vendors are rushing, rushing to re-position, put a portal, portal spin, management vendors, Information, Urquhart, workflow, ITNET
business makes money, efforts increase business, increase business productivity, mining efforts increase, makes money, Data mining efforts, Data mining technologies, Data mining, efforts increase, productivity and efficiency, key part, increase business, business productivity, business makes, mining efforts
disambiguation Recent models, probabilistic disambiguation Recent, processing employ statistical, employ statistical reasoning, disambiguation Recent, natural language processing, language processing employ, Recent models, processing employ, employ statistical, statistical reasoning, reasoning for dealing, ambiguity resolution, formal grammars, Recent
nonlinear partial differential, Laguerre Gauss-Radau interpolation, Laguerre pseudospectral method, partial differential equations, interpolation is investigated, Laguerre pseudospectral, method for nonlinear, nonlinear partial, partial differential, Gauss-Radau interpolation, Laguerre Gauss-Radau, Laguerre pseudospectral scheme, pseudospectral method, Laguerre, differential equations
technologies Modern language, Modern language studies, technologies Modern, Modern language, variety of forms, language studies, studies are characterized, specific areas knowledge, Modern, Linguistic knowledge, areas knowledge, knowledge, development, forms, differentiation and classification
active functionality service, Service based architectures, active functionality, functionality service, e-business applications Service, applications Service based, business rules, meet the fast, fast evolution, Service based, based architectures, service, active, functionality, service-based middleware architecture
multi-hop radio networks, deterministic distributed broadcasting, multi-hop radio, unknown topology, radio networks, deterministic distributed, upper bound, Fast broadcasting, radio, distributed broadcasting, log, gossiping in radio, bound of Omega, lower bound, bound
brainiac theorem prover, superposition-based theorem prover, brainiac theorem, superposition-based theorem, theorem prover, describe the superposition-based, theorem, prover, DISCOUNT loop proof, brainiac, describe, superposition-based, logic with equality, DISCOUNT loop, prover include strong
continuous feedback control, continuous feedback, feedback control, feedback control approach, Sliding mode dynamics, distributed discrete-event scheduling, feedback control systems, Sliding mode, distributed manufacturing applications, distributed discrete-event, control theoretic techniques, control, discrete events, events is presented, presented motivated
specific logical formulation, logical formulation based, relationship between omega, temporal logic formulae, omega, specific logical, logical formulation, formulation based, logic formulae, automata, temporal logic, normal form, temporal logic normal, logic normal forms, relationship
missions Future manned, space missions Future, Future manned space, missions Future, Future manned, manned space operations, life support, operations will include, include a greater, Johnson Space Center, NASA Johnson Space, Intelligent control, Future, space missions, manned space
RISCy business, Cornell University students, Atmel Design, Cooking Coach, Cornell University, University students entered, Barbie zip drive, RISC projects, RISCy, business, wireless Internet pager, Cornell, University students, Cornell students, Barbie zip
solvable queueing network, measured or simulated, detailed train schedules, queueing network model, solvable queueing, railway networks, train schedules, queueing network, detailed train, railway, network model, requiring train schedules, Netherlands, network, model
portal organizational memory, information system Based, intranet portal organizational, organizational memory information, Based on previous, memory information system, organizational memory, memory structure map, well-known organizational memory, human-centred features, information retrieval tools, conceptual model, system Based, portal organizational, retrieval functions
vector cascade algorithm, multivariate refinable vector, cascade algorithm, vector cascade, relationship between accuracy, accuracy of multivariate, multivariate refinable, refinable vector, cascade, vector, algorithm, isotropic dilation converges, algorithm The focus, Strang-Fix conditions, note on vector
Positive productivity, health care, Workflow software, unexpected financial boost, hospital specialists, Workflow, communication solution, solution for hospital, delivers an unexpected, unexpected financial, financial boost, Positive, productivity, billing, health
NARX polynomial models, NARX polynomial, polynomial models, NARX models, representation and estimation, NARX, mapped in NARX, models, polynomial, Nonlinearities in NARX, shown how nonlinearities, nonlinearities are mapped, Nonlinearities, representation, coefficients of NARX
Century project team, Utilizing Web-based case, Web-based case studies, cutting-edge information services, information services issues, Academic Libraries, pilot study conducted, Utilizing Web-based, Century project, case study method, training framework, Web-based case, studies for cutting-edge, cutting-edge information, information services
Internet backbone industry, pervasive information technology, emerging information society, Internet infrastructure, Internet backbone, real constraints, Internet, information society, backbone industry, industry This paper, emerging information, pervasive information, contemporary society, Internet age, paper examines
rate parallel computer, parallel computer interface, interface bus parallel, computer interface bus, parallel data card, transfer rate parallel, bus parallel data, high transfer rate, general statistical analysis, standard high transfer, rate parallel, parallel computer, bus parallel, designed and built, computer interface
stochastic batch service, batch service problem, illustrate the importance, batch service, service, dynamic programming, stochastic batch, adaptive dynamic programming, dynamic programming algorithms, customers, dynamic, programming, Exploiting structure, problem, structural results
binocular free viewing, diverse viewing conditions, optic tunnel, present experiments investigate, viewing conditions, diverse viewing, free viewing, binocular free, viewing, tunnel, mapping, experiments investigate, optic, monocular perspective, mapping of perspective
Euclidean combinatorial optimization, Euclidean combinatorial, combinatorial optimization problem, dynamic programming method, combinatorial optimization, dynamic programming, class of Euclidean, Euclidean, programming method, optimization problem, combinatorial, optimization, method A class, method, Solution
gray level images, Automatic extraction, mouth fields, gray level, paper presents, eye and mouth, mouth, fields, extraction, face image, level images, eigenfeatures, eye, facial features, locating fields efficiently
managing customer relationships, customer relationships, open-ended questions, business decisions, Mining open answers, tools for marketing, managing customer, basis for business, open answers, Mining open, answers, open, important tools, important basis, questionnaire data Surveys
projection-type methods, linear complementarity problem, monotone linear complementarity, monotone LCP, LCP, paper we establish, linear complementarity, methods, projection-type, Newton method, complementarity problem, finite termination, LCP with finite, finite termination property, monotone linear
urban digital cadastre, urban cadastral reality, operationally efficient cadastral, efficient cadastral database, accurate cadastral database, analytical reconstruction, urban digital, digital cadastre, legally supportive, generating a spatially, supportive and operationally, operationally efficient, field reconstruction process, cadastral database, conventional field reconstruction
parametric uncertainty Probabilistic, probabilistic system parameters, uncertainty Probabilistic robustness, Probabilistic robustness analysis, parametric uncertainty, uncertainty Probabilistic, probabilistic system, Monte Carlo simulation, nonlinear systems, Robust control, uncertain parameters, robust control synthesis, Monte Carlo, Probabilistic, system parameters
NYSE Composite Index, technical charting heuristics, Stock market trading, Composite Index, NYSE Composite, technical charting, market trading rule, discover trading rules, trading rule discovery, bull flag, charting heuristics, Stock market, data mining, market trading, discover trading
kinematic DEVS formalism, Geometric and kinematic, kinematic DEVS, simulation methodology based, continuous state set, continuous simulation methodology, DEVS formalism, conventional DEVS formalism, continuous state dynamics, continuous state, DEVS, event system specification, conventional DEVS, formalism, methodology based
result published previously, elliptical probability distributions, Siegel metric, Siegel group, elliptical distributions based, generalizing a result, elliptical probability, probability distributions, group This paper, paper describes, informative geometry, positive-definite matrices, result published, published previously, Siegel
Blind identification, identification of non-stationary, identification, adaptive algorithm, Blind, algorithm, identification of time-varying, equations derived, channels is derived, tracking time-varying systems, system of equations, derived, time-varying systems, time-varying MA channels, instrumental variable-type algorithm
tracking controller design, Gaussian wavelet networks, Adaptive tracking controller, Gaussian wavelet, tracking control design, Adaptive tracking, adaptive tracking control, Gaussian wavelet functions, robotic systems, Gaussian, Gaussian wavelet network-based, tracking controller, controller design, wavelet networks, design for robotic
Software maintenance accounts, software maintenance Software, Hypothesis-based concept assignment, maintenance Software maintenance, concept assignment, software maintenance, software system, significant proportion, software, Hypothesis-based concept, maintenance accounts, maintenance Software, maintenance, concept, maintenance process
accountants Software Technology, quality accountants Software, Software Technology, years of reselling, accounting market, accountants Software, quality accountants, reselling experience, legal business, Technology, Software, turn, years, market, quality
inspire professional growth, article challenges librarians, Exploring the sabbatical, Concordia University, challenges librarians, create leaves, article challenges, inspire professional, professional growth, librarians to create, leave, energizing a career, librarians at Concordia, time, article
convex polyhedral Lyapunov, polyhedral Lyapunov functions, time hybrid systems, nonlinear discrete time, discrete time hybrid, Switching controller design, systematic switching control, switching control design, polyhedral Lyapunov, Lyapunov functions, control design method, hybrid systems, convex polyhedral, functions We propose, propose a systematic
LPV systems Stability, gain properties, linear parameter-varying systems, properties of LPV, parameter rate, LPV systems, properties of linear, systems Stability, linear parameter-varying, obtained under assumed, assumed bounds, maximum or average, parameter-varying systems, gain, Stability
nondifferentiable invex programming, nonlinear programming problem, sufficient optimality condition, data wherein Clarke, generalized gradient, define invexity, nondifferentiable invex, problem without differentiability, differentiability assumption, invex programming, nonlinear programming, programming problem, sufficient condition, sufficient optimality, optimality condition
Tactical airborne reconnaissance, Multispectral imaging technologies, Tactical airborne, Multispectral imaging, airborne reconnaissance, technologies are satisfying, imaging technologies, Multispectral, persistent, battlefield, Tactical, reconnaissance goes dual-band, infrared imaging, airborne, reconnaissance
classifications-a statistical approach, ideological classifications-a statistical, classifications-a statistical, statistical approach, statistical method, approach The paper, paper presents, method of verifying, verifying ideological classifications, presents a statistical, statistical, ideological classifications-a, verifying ideological, actual vote results, ideological
saccadic eye movements, knowledge gathering, image understanding based, image decision support, decision support, eye movements, Computed Tomography images, paper presents, understanding based, saccadic eye, visual search, generic image feature, image feature extraction, image understanding, visual assessment
railway freight wagon, freight wagon wheelset, railway freight, freight wagon, dry friction dampers, dry friction, dry friction damping, supports one end, springs with linear, linear characteristics, wagon wheelset, friction dampers, railway, freight, wheelset that supports
Structural invariance, Pythagorean hodographs introduced, introduced by Dietz, spatial Pythagorean hodographs, Pythagorean hodographs, three-dimensional Pythagorean hodographs, arbitrary spatial rotations, four-polynomial characterization, spatial rotations, rotated Pythagorean hodograph, Pythagorean, spatial Pythagorean, hodographs introduced, invariance, spatial
radial basis function, resultant decision boundaries, input layer, hidden layer, weight matrix, conventional RBF, Optimal learning, basis function, regions is reported, learning for patterns, proposed modifying, radial basis, direct connection, adaptively separated, resultant decision
weighted autocorrelation function, fuzzy weighted autocorrelation, fuzzy weighting scheme, autocorrelation function, pitch extraction, weighted autocorrelation, function for pitch, speech An investigation, investigation is presented, feasibility of incorporating, weighting scheme, fuzzy weighted, fuzzy weighting, noisy speech, function
symmetric positive definite, positive definite system, regularized conjugate gradient, positive definite matrix, ill-conditioned symmetric positive, large sparse system, symmetric positive, positive definite, system of linear, linear equations, conjugate gradient method, conjugate gradient, definite system, regularized conjugate, definite matrix
influence firm performance, influence firm, firm performance, performance, training and development, companies, development policies, training, medium-sized companies, firm, middle-sized, ETD, Education, performance work practices, policies and practices
rent-producing resources, select organizational designs, resource-based view, story has emerged, knowledge accumulated, routines and structures, structures influences, organizational routines, Organizational design, capabilities, resources, dynamic story, firm ability, firm, resources and capabilities
piecewise analytic functions, piecewise analytic, compact interval, analytic, analytic functions, approximation of piecewise, Self-validating integration, piecewise, function, Self-validating, integration, approximation, compact, interval, integration and approximation
smooth flight Career, flight Career change, flight Career, Career change, depart on time, important decision, time to ensure, ensure a smooth, smooth flight, anxiety-laden process, contemplating this important, public librarianship, public, Career, librarianship
chartered accountants focus, Nurture the geek, chartered accountants, accountants focus, technology, Internet, technology is neat, Nurture, accounting, neat, Imagine the Internet, geek, chartered, accountants, focus
static state feedback, state feedback controllers, linear matrix inequalities, linear time-invariant systems, digital redesign, digitally redesigned system, simple design methodology, feedback controllers, digital redesign problem, linear matrix, matrix inequalities, static state, state feedback, linear time-invariant, time-invariant systems
situation awareness Thirty-six, awareness Thirty-six pilots, Thirty-six pilots, awareness Thirty-six, Impact of aviation, pilot situation awareness, ability to intercept, HITS display, flight, pathway depicted, Thirty-six, HITS, pilot situation, pilots, situation awareness
Tax forms, Web, electronic tax forms, Tax, forms, Web looks unstoppable, electronic tax, unstoppable, vendors are rapidly, forms they offer, offer, vendors, move, thousands of electronic, rapidly moving
Fuzzy non-homogeneous Markov, non-homogeneous Markov systems, Markov systems, non-homogeneous Markov, fuzzy Markov system, Fuzzy non-homogeneous, Markov, Markov systems represents, paper the theory, fuzzy Markov, reasoning is combined, systems, Fuzzy, closed analytic form, fuzzy reasoning
Semantic Web, increasingly difficult-and important-for, Semantic Web Activity, Semantic Web offers, Semantic Web development, support Semantic Web, Ontology Web Language, Web, World Wide Web, Wide Web Consortium-have, Web Activity Ontology, Activity Ontology Web, Defense Advanced Research, Advanced Research Projects, Research Projects Agency
fluid dynamic systems, optimal control governed, Pontryagin maximum principle, point boundary state, boundary state constraint, optimal control problem, control problem subject, maximum principle holds, optimal control, maximum principle, governed by fluid, fluid dynamic, dynamic systems, point boundary, semilinear equation
multiple competitive facilities, competitive facilities location, facilities location problem, multiple competitive, location problem, competitive facilities, facilities location, Solving the multiple, paper we propose, multiple, competitive, location, facilities, problem, competing facilities
develop knowledge bases, industrial fault diagnosis, diagnosis Machine induction, knowledge structures derived, fault diagnosis Machine, knowledge structures, decision support systems, Machine induction, machine induction techniques, case study, study of industrial, induction techniques, knowledge, decision support, diagnosis Machine
cadastral development World-wide, development World-wide, cadastral development, methodologies, cadastral, research methodologies needed, World-wide, development, research methodologies, research, cadastre, social, proposed methodologies, cadastral domain, political and economic
semantically guided theorem, guided theorem prover, first-order theorem prover, semantically guided, series of versions, theorem prover SCOTT, theorem prover, TPTP library, CASC, TPTP, ten years, guided theorem, first-order theorem, prover SCOTT, prover
examine the Iwasawa, Iwasawa theory, p-adic Birch, non-semistable reduction, additive reduction, elliptic curves, Swinnerton-Dyer Conjecture, convert Kato zeta-elements, odd prime, p-adic L-functions, extending Perrin-Riou theory, Iwasawa, reduction, Conjecture for non-semistable, p-adic
constant modulus algorithm, MIMO convolutive system, joint blind equalisation, Steady-state mean-square error, cross-correlation and constant, constant modulus, modulus algorithm, MIMO convolutive, mean-square error analysis, mean-square error performance, Steady-state mean-square, mean-square error, convolutive system, multi-output system, problem of joint
continue the study, antiport rules, objects, systems, computation, rules, systems with symport, symport and antiport, symport, antiport, halting computation, objects collected, traces of objects, communication of objects, computation is performed
John McCarthy, artificial intelligence, computational intelligence, John, intelligence, father, McCarthy, today, Lisp, artificial, computational, list processing, discusses McCarthy recent, McCarthy recent research, coin
small periodic coefficients, order elliptic problems, problems with small, small periodic, elliptic problems, periodic coefficients, Two-scale curved element, curved element method, order elliptic, Two-scale curved, paper is concerned, curved boundary, element method, curved element, problems
tighter operating budgets, Evanston Northwestern Healthcare, Dueling platforms, Evanston Northwestern, operating budgets, coupled with advances, advances in client, Northwestern Healthcare, healthcare network servers, grown accustomed, tighter operating, healthcare network, healthcare, server technology, mainframe architecture
asynchronous transfer mode, availability bit rate, interval-based ABR flow, flow control protocol, transfer mode, availability bit, asynchronous transfer, ABR, flow control, ABR flow control, interval-based ABR, bit rate, control protocol, ABR connections, presented for availability
normal duration requires, duration requires utilization, cost structure, Project, cost, activity, normal duration, duration requires, requires utilization, time dependent costs-a, project network, dependent costs-a branch, project compression problem, dependent cost structure, structure
World Wide Web, Wide Web, World Wide, students learning objectives, surf the World, learning objectives, email attachment, college campus, case study, students learning, send an email, Web, learning, email, World
ERP systems Customization, ERP systems, encourage engagement success, engagement success, Nurturing clients' trust, ERP customization clients, costly aspect, successful implementation, major specialty, vendors and consulting, clients' trust, ERP, encourage engagement, systems Customization, implementation of ERP
Records management standards, e-business Records management, role in e-business, e-business strategy, Records management, management standards, playing a key, Records role, e-business Records, key role, Records, role, e-business, strategy, management
Max-Cut problem, approximation ratio, graphs, Max-Cut, Improved approximation, approximation, alpha approximately, ratio, general graphs, bounded degree, problem on general, Delta, problem, semidefinite relaxation, Williamson
multiview X-ray cineangiocardiograms, multiview X-ray, X-ray cineangiocardiograms, X-ray, time-varying three-dimensional, left-ventricular shape, shape from multiview, paper reports, shape recovery, X-ray cineangiocardiography, clinical application, left-ventricular, multiview, cineangiocardiograms, shape
general constitutive description, constitutive, general constitutive, constitutive description, behavior of fibrous, fibrous laminates, fiber, Laminate, matrix, theory, constituent fiber, laminates, lamina theory, matrix materials, matrix composite laminate
parameter uncertainty Studies, mobile manipulators subject, constrained mobile manipulators, force tracking control, unknown inertia parameters, tracking control problem, mobile manipulators, uncertainty Studies, tracking control, constrained mobile, control problem, manipulators subject, parameter uncertainty, inertia parameters, force tracking
output feedback stabilization, linear time-invarying large-scale, adaptive output feedback, class of interconnected, class of linear, time-invarying large-scale systems, feedback stabilization, adaptive decentralized stabilization, output feedback, linear time-invarying, time-invarying large-scale, nonlinear interconnectivity, Decentralized adaptive output, class, adaptive decentralized
spatial resolutions, authors evaluated magnetic, high spectral, spectral and spatial, evaluated magnetic resonance, preliminary experience, healthy volunteers, suspicious lesions, experience The authors, authors evaluated, evaluated magnetic, women with suspicious, imaging with high, resolutions, HSSR data compared
column generation algorithm, linear programming, Combining constraint programming, constraint programming, programming and linear, programming, column generation, generation algorithm, linear, Combining constraint, bus driver scheduling, combine constraint, constraint, driver scheduling, technologies
stream Recently, Recently much attention, Internet video streaming, IP-based networks, Error resilient, video streaming, Error resilient intra, resilient intra refresh, Internet video, refresh scheme, Recently, intra refresh scheme, macro-block refresh scheme, intra macro-block refresh, scheme
therapy decision task, therapy decision, decision task, Heuristic Multi-Attribute, generic decision task, generic decision model, decision, Knowledge model reuse, therapy decision domain, generic decision, KADS-style specification, present the definition, therapy, task, Knowledge model
retarded functional differential, functional differential equations, functional differential, shadowing result, exact solutions, differential equations, shadowing, numerical, comparing exact solutions, differential, retarded functional, result, numerical approximations, functional, exact
organizational process modeling, specialization, Process, Process specialization, state diagram, object modeling, modeling, process modeling, defining specialization, object, organizational process, state, object specialization, approach, diagram
industrial age coincides, modern man conceives, man conceives work, social environment, economic organization, industrial age, age coincides, brings about significant, conceives work, emerging information society, information society, modern man, man conceives, social and economic, information reversal
authorities Personalization generally, Personalization generally refers, user profiles, user, Supporting global user, trusted authorities Personalization, global user profiles, profiles, authorities Personalization, Personalization generally, Supporting global, generally refers, refers to making, unique and individual, interoperable user profiles
processes with dead-time, integral processes, Quantitative analysis, normalised, response, Control, processes, disturbance response, dead-time, integral, Quantitative, processes with dead, dynamic error, analysis For part, disturbance
Hand-held digital video-camera, eye examination, Hand-held digital, hand-held digital colour, primary care, follow-up We developed, developed a hand-held, examination and follow-up, examination in primary, Hand-held, examination, eye, digital colour video-camera, digital, video-camera
Linear tense logics, Linear tense, tense logics, provide an extension, future and past, past connectives, modality that quantifies, assumed to increase, logics of increasing, logic with future, language of linear, tense, Linear, increasing sets, modelling growth qualitatively
open-source HCS project, HCS, open-source HCS, HCS project, project, HCS II project, HCS incorporates direct, open-source project, HCS incorporates, remote, open-source, inputs and outputs, transmission and reception, rumors, dead
schedules unraveled owing, airline operational difficulties, tightly coordinated airline, massive delays resulting, coordinated airline schedules, airline schedules unraveled, overbooked flights, tightly coordinated, inclement weather, operational difficulties, negotiated interactions, unraveled owing, owing to massive, resulting from inclement, airline
make different types, usability problems, heuristic evaluation, user testing, types, user, usability, problems, performance, evaluation, testing, heuristic, types of information, types of errors, performance classification
Single machine earliness-tardiness, resource-dependent release dates, machine earliness-tardiness scheduling, single machine earliness, Single machine, resource-dependent release, release dates, job release date, tardiness scheduling problem, machine earliness-tardiness, common due date, due date, earliness-tardiness scheduling, paper deals, job release
high-performance theorem prover, describe VAMPIRE, first-order logic, high-performance theorem, VAMPIRE We describe, VAMPIRE, key implementation features, theorem prover, implementation of VAMPIRE, implementation features, key implementation, design, prover for first-order, logic, implementation
large exponent makes, polynomial time algorithm, biconnected outerplanar graph, outerplanar graphs, exists a polynomial, polynomial time, large exponent, exponent makes, biconnected outerplanar, pathwidth, algorithm impractical, outerplanar, time algorithm, pathwidth of outerplanar, compute the pathwidth
model reduction, model, reduction, models, FIR, general results, variance, order FIR model, FIR model, variance properties, model reduction schemes, directly, reduced model, estimated, general
saturated porous media, porous medium saturated, undergoing large elastic, compressible fluid undergoing, fluid undergoing large, saturated porous, porous media, porous medium, medium saturated, deformations is presented, undergoing large, large elastic, elastic and plastic, plastic deformations, compressible fluid
Markov chains Procedures, hidden Markov models, hidden Markov chains, hidden Markov, Markov models, Markov chains, chains Procedures, Two-layer model, Markov, formation of states, formation, hidden state, Procedures, hidden, state features
interesting and challenging, challenging phenomenon, free surface waves, free surface, fixed bottom, bottom, waves, Numerical studies, surface waves, boundary integral method, surface, free, nature, effect of bottom, studies
ebusiness Putting electronic, Putting electronic business, sound foundation-model theoretically, ebusiness Putting, Putting electronic, commercial development, days of ebusiness, electronic business, sound foundation-model, foundation-model theoretically, technologically-is a central, central challenge, challenge for research, Putting, contract
radiologists reviewing clinical, computerized classification method, computer aid, reviewing clinical mammograms, Evaluates the effectiveness, mammograms Evaluates, computer-aided diagnosis-observer study, computer, Breast cancer, radiologists, independent database, reviewing clinical, aid, community radiologists, diagnosis-observer study
Jersey African American, African American women, identify African American, American women writers, African American, American women, Jersey African, Jersey religious, identify African, women writers, Jersey, oral sources, intellectual output, study examines, personal interviews
paper to show, time-effective and life-enhancing, life-enhancing for people, ages and abilities, creative and imaginative, imaginative approach, approach to unlock, Unlocking the potential, case studies, unlock its potential, potential, videoconferencing, videoconferencing is user-friendly, potential of videoconferencing, cost-effective
Institute of Medicine, cancer or AIDS, northeastern United States, medical errors result, Healthcare System Inc., winning combination, years ago, highway accidents, breast cancer, wireless health care, Boston-area healthcare network, United States, errors result, IOM, Cisco Systems' Aironet
nonstationary hyperbolic equation, discontinuous Galerkin solver, uniform rectangular partition, discontinuous Galerkin method, linear discontinuous Galerkin, hyperbolic equation taking, order nonstationary hyperbolic, piecewise linear discontinuous, half approximative order, half order higher, rectangular partition, discontinuous Galerkin, nonstationary hyperbolic, hyperbolic equation, Galerkin solver
commodity network design, network design revisited, facility network design, network design problem, network design, nonnegative flow costs, design revisited, commodity network, facility network, destination where arc, OFOC, flow costs, arc capacity, design problem, network
data resource, migratory data resources, data, broadband networks, data resource migrations, proposed algorithm, resource, importance of dynamic, potential to improve, requested data resource, migratory data, system state information, resources, ATM, broadband
respiratory mechanics active, mechanics active simulator, preterm respiratory mechanics, preterm pathological infants, patient active simulator, mechanics active, active simulator, neonatal pulmonary ventilators, pulmonary mechanics, respiratory mechanics, capable of reproducing, healthy newborns, preterm pathological, pathological infants, preterm infant
trajectory tracking controllers, gain-scheduled trajectory tracking, trajectory tracking, tracking controllers, methodology is proposed, design, design technique builds, gain-scheduled trajectory, design of gain-scheduled, AUV application, tracking, AUV, autonomous underwater vehicle, trajectory, design technique
exchange Warwick University, algorithmic exchange Warwick, Research Assessment Exercise, Warwick University, hub gears, algorithmic exchange, exchange Warwick, Assessment Exercise, Research Assessment, University, Scientific Computing, Warwick, Centre for Scientific, older institutions standing, considered a typical
gaming Mainstream observers, Mainstream observers commonly, observers commonly underestimate, gaming Mainstream, Mainstream observers, Development through gaming, science and technology, observers commonly, commonly underestimate, underestimate the role, role of fringe, fringe activities, activities in propelling, propelling science, pioneering visual media
Improving supply-chain performance, supply-chain performance, advance demand information, ADI, sharing advance demand, sharing ADI, Improving supply-chain, advance demand, sharing advance, improve supply-chain, information, supply, supply chains, sharing, advance
branching time logics, branching time temporal, branching time, time temporal logic, temporal logic CTL, time logics, Model checking games, logic CTL, paper defines, defines and examines, examines model checking, Model checking, checking games, time temporal, branching
paper studies adaptive, Adaptive thinning, studies adaptive thinning, thinning, bivariate scattered data, data points, adaptive thinning strategies, points, data, thinning strategies, paper studies, scattered data, thinning large data, anticipated error, data sampled
involve people engaging, work systems design, systems design Work, design Work systems, Work systems involve, systems involve people, Modeling and simulating, work systems, work, systems design, systems involve, work method, design Work, simulating practices, involve people
lattice-valued set theory, lattice valued logic, paper shows strong, shows strong completeness, Strong completeness, paper shows, set theory, theory by introducing, introducing the logical, logical implication, implication which represents, represents the order, order relation, lattice valued, valued logic
recognizing regular Boolean, regular Boolean functions, regular Boolean, Boolean functions, Boolean, true vector, naturally ordered, decreasing strength, minimal true vectors, variables are naturally, shifting the nonzero, nonzero component, time, linear time, linear time algorithm
Uninterrupted power supplies, management tool Uninterrupted, tool Uninterrupted power, function-continual battery support, tool Uninterrupted, Uninterrupted power, network management tool, power management tool, support to connected, connected equipment, management tool, battery backup systems, network power management, power supplies, function-continual battery
BIOGENES Copyright control, knowledge-based bioprocess control, Copyright control system, knowledge-based control systems, supervisory process control, BIOGENES Copyright, BIOGENES system, past decade, area of biotechnological, biotechnological processes, increasingly popular, control, fed-batch Saccharomyces cerevisiae, knowledge-based bioprocess, Saccharomyces cerevisiae cultivation
denotes sample size, statistics based, number of cells, Asymptotic normality, wide class, denotes sample, sample size, phi, study asymptotic efficiency, divergence, normality is established, normality, Asymptotic, asymptotic efficiency, tests
Bezier curve, Optimal multi-degree reduction, Bezier, multi-degree reduction, curve of degree, Optimal multi-degree, degree, MDR, reduction, degree reduction, multi-degree, curve, curves with constraints, endpoint continuity, constraints
Exact frequency-domain reconstruction, Fourier-domain reconstruction algorithm, thermoacoustic tomography, fast Fourier-domain reconstruction, Exact frequency-domain, frequency-domain reconstruction, reconstruction algorithm, planar configuration assuming, Fourier-domain reconstruction, finite size, constant acoustic speed, reconstruction, fast Fourier-domain, configuration assuming thermal, assuming thermal confinement
